PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Rank,TotalPoints
Antonio Callaway,2560988,WR,FA,,,,,,,,,,,,,,,,,96,0.00
Marquez Callaway,2565310,WR,NO,,,,,,,,,,,,11.16,,,,,97,0.00
Jalen Camp,2566148,WR,FA,,,,,,,,,,,,,,,,,98,0.00
Parris Campbell,2562495,WR,IND,,,,,,,,,,,,11.04,,,,,99,0.00
Dylan Cantrell,2560990,WR,WAS,,,,,,,,,,,,,,,,,100,0.00
DeAndre Carter,2553502,WR,WAS,,,,,,,,,,,,,,,,,101,0.00
Quintez Cephus,2563926,WR,DET,,,,,,,,,,,,,,,,,102,0.00
D.J. Chark,2561018,WR,JAX,,,,,,,,,,,,5.74,,,,,103,0.00
Ja'Marr Chase,2565941,WR,CIN,,,,,,,,,,,,,,,,,104,0.00
Dan Chisena,2564514,WR,MIN,,,,,,,,,,,,9.69,,,,,105,0.00
Chase Claypool,2564970,WR,PIT,,,,,,,,,,,,8.48,,,,,106,0.00
Tyrie Cleveland,2563881,WR,DEN,,,,,,,,,,,,5.93,,,,,107,0.00
Randall Cobb,2495448,WR,GB,,,,,,,,,,,,8.98,,,,,108,0.00
Keelan Cole,2559153,WR,NYJ,,,,,,,,,,,,6.07,,,,,109,0.00
Matt Cole,2564442,WR,FA,,,,,,,,,,,,,,,,,110,0.00
Nico Collins,2566127,WR,HOU,,,,,,,,,,,,,,,,,111,0.00
Isaiah Coulter,2564067,WR,FA,,,,,,,,,,,,,,,,,112,0.00
Keke Coutee,2561029,WR,FA,,,,,,,,,,,,,,,,,113,0.00
River Cracraft,2559485,WR,FA,,,,,,,,,,,,,,,,,114,0.00
Frank Darby,2565812,WR,ATL,,,,,,,,,,,,8.48,,,,,115,0.00
Jaelon Darden,2566562,WR,TB,,,,,,,,,,,,,,,,,116,0.00
Corey Davis,2557848,WR,NYJ,,,,,,,,,,,,6.07,,,,,117,0.00
Gabriel Davis,2563602,WR,BUF,,,,,,,,,,,,11.21,,,,,118,0.00
Quartney Davis,2564529,WR,IND,,,,,,,,,,,,11.04,,,,,119,0.00
Rashard Davis,2559461,WR,FA,,,,,,,,,,,,,,,,,120,0.00
Reggie Davis,2559324,WR,FA,,,,,,,,,,,,,,,,,121,0.00
Gehrig Dieter,2559066,WR,FA,,,,,,,,,,,,,,,,,122,0.00
Derrick Dillon,2564730,WR,FA,,,,,,,,,,,,,,,,,123,0.00
Phillip Dorsett,2552424,WR,FA,,,,,,,,,,,,,,,,,124,0.00
Keelan Doss,2562393,WR,FA,,,,,,,,,,,,,,,,,125,0.00
Ashton Dulin,2562646,WR,IND,,,,,,,,,,,,11.04,,,,,126,0.00
Devin Duvernay,2563551,WR,BAL,,,,,,,,,,,,9.31,,,,,127,0.00
Bryan Edwards,2564418,WR,LV,,,,,,,,,,,,7.78,,,,,128,0.00
