PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Demarcus Governor,2573226,DB,FA,,,,,,,,,,,,,,,,,,443,0.00
Tay Gowan,2566427,DB,FA,,,,,,,,,,,,,,,,,,444,0.00
Thomas Graham Jr.,2565923,DB,FA,,,,,,,,,,,,,,,,,,445,0.00
Jaydon Grant,2571096,DB,FA,,,,,,,,,,,,,,,,,,446,0.00
Vincent Gray,2569083,DB,FA,,,,,,,,,,,,,,,,,,447,0.00
A.J. Green,2563782,DB,FA,,,,,,,,,,,,,,,,,,448,0.00
Gemon Green,2570572,DB,FA,,,,,,,,,,,,,,,,,,449,0.00
Javelin Guidry,2565504,DB,FA,,,,,,,,,,,,,,,,,,450,0.00
Kamal Hadden,2572165,DB,GB,,,,,,,,,,,,,,,,,,451,0.00
Kahlef Hailassie,2570719,DB,CLE,,,,,,,,,,,,,,,,,,452,0.00
Bryce Hall,2564796,DB,TB,,,,,,,,,,,,,,,,,,453,0.00
Kemon Hall,2562975,DB,DAL,,,,,,,,,,,,,,,,,,454,0.00
Tyler Hall,2563497,DB,JAX,,,,,,,,,,,,,,,,,,455,0.00
Erick Hallett,2569903,DB,DET,,,,,,,,,,,,,,,,,,456,0.00
Dominique Hampton,2572567,DB,WAS,,,,,,,,,,,,,,,,,,457,0.00
Harrison Hand,2564547,DB,ATL,,,,,,,,,,,,,,,,,,458,0.00
Matt Hankins,2568507,DB,FA,,,,,,,,,,,,,,,,,,459,0.00
Justin Hardee,2559181,DB,TEN,,,,,,,,,,,,,,,,,,460,0.00
Myles Harden,2571952,DB,CLE,,,,,,,,,,,,,,,,,,461,0.00
Daequan Hardy,2571868,DB,BUF,,,,,,,,,,,,,,,,,,462,0.00
Erik Harris,2555568,DB,FA,,,,,,,,,,,,,,,,,,463,0.00
Tayler Hawkins,2569245,DB,FA,,,,,,,,,,,,,,,,,,464,0.00
Andrew Hayes,2573838,DB,FA,,,,,,,,,,,,,,,,,,465,0.00
Kaleb Hayes,2571020,DB,FA,,,,,,,,,,,,,,,,,,466,0.00
Tae Hayes,2562999,DB,FA,,,,,,,,,,,,,,,,,,467,0.00
Azizi Hearn,2571087,DB,FA,,,,,,,,,,,,,,,,,,468,0.00
DeMarcco Hellams,2569552,DB,ATL,,,,,,,,,,,,,,,,,,469,0.00
C.J. Henderson,2564199,DB,PIT,,,,,,,,,,,,,,,,,,470,0.00
Tre Herndon,2561340,DB,NO,,,,,,,,,,,,,,,,,,471,0.00
Brandon Hill,2569816,DB,HOU,,,,,,,,,,,,,,,,,,472,0.00
Christian Holmes,2568330,DB,FA,,,,,,,,,,,,,,,,,,473,0.00
Delonte Hood,2568600,DB,FA,,,,,,,,,,,,,,,,,,474,0.00
William Hooper,2570668,DB,FA,,,,,,,,,,,,,,,,,,475,0.00
DeAndre Houston-Carson,2555381,DB,FA,,,,,,,,,,,,,,,,,,476,0.00
Tanner Ingle,2570011,DB,LAR,,,,,,,,,,,,,,,,,,477,0.00
Keenan Isaac,2571623,DB,TB,,,,,,,,,,,,,,,,,,478,0.00
Clayton Isbell,2572929,DB,FA,,,,,,,,,,,,,,,,,,479,0.00
Kareem Jackson,496735,DB,BUF,,,,,,,,,,,,,,,,,,480,0.00
Khyree Jackson,2572264,DB,FA,,,,,,,,,,,,,,,,,,481,0.00
Lamar Jackson,2565513,DB,ATL,,,,,,,,,,,,,,,,,,482,0.00
Matthew Jackson,2571461,DB,JAX,,,,,,,,,,,,,,,,,,483,0.00
Jerry Jacobs,2566896,DB,FA,,,,,,,,,,,,,,,,,,484,0.00
Craig James,2561486,DB,FA,,,,,,,,,,,,,,,,,,485,0.00
DJ James,2572519,DB,NE,,,,,,,,,,,,,,,,,,486,0.00
D'Shawn Jamison,2571318,DB,PIT,,,,,,,,,,,,,,,,,,487,0.00
Robert Javier,2573458,DB,FA,,,,,,,,,,,,,,,,,,488,0.00
