PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Nikola Kalinic,2567706,TE,LAR,,,,,,,,,,,,,7.25,,,,,,,,,,143,0.00
Hunter Kampmoyer,2566481,TE,FA,,,,,,,,,,,,,,,,,,,,,,,144,0.00
Dalton Keene,2564616,TE,HOU,,,,,,,,,,,,,11.27,,,,,,,,,,145,0.00
Trey Knox,2573301,TE,FA,,,,,,,,,,,,,,,,,,,,,,,146,0.00
Zack Kuntz,2570182,TE,NYJ,,,,,,,,,,,,,10.48,,,,,,,,,,147,0.00
Cameron Latu,2570302,TE,CLE,,,,,,,,,,,,,10.05,,,,,,,,,,148,0.00
Dylan Leonard,2573091,TE,FA,,,,,,,,,,,,,,,,,,,,,,,149,0.00
Tyler Mabry,2565168,TE,SEA,,,,,,,,,,,,,8.70,,,,,,,,,,150,0.00
David Martin-Robinson,2573467,TE,TEN,,,,,,,,,,,,,7.32,,,,,,,,,,151,0.00
Ben Mason,2565845,TE,FA,,,,,,,,,,,,,,,,,,,,,,,152,0.00
Sean McKeon,2563854,TE,IND,,,,,,,,,,,,,5.72,,,,,,,,,,153,0.00
Tre' McKitty,2566490,TE,FA,,,,,,,,,,,,,,,,,,,,,,,154,0.00
Tanner McLachlan,2571937,TE,CIN,,,,,,,,,,,,,6.37,,,,,,,,,,155,0.00
James Mitchell,2567556,TE,DET,,,,,,,,,,,,,10.90,,,,,,,,,,156,0.00
Zaire Mitchell-Paden,2568654,TE,BAL,,,,,,,,,,,,,8.13,,,,,,,,,,157,0.00
Jordan Murray,2571714,TE,ARI,,,,,,,,,,,,,9.36,,,,,,,,,,158,0.00
Patrick Murtagh,2572150,TE,JAX,,,,,,,,,,,,,7.93,,,,,,,,,,159,0.00
Nick Muse,2567922,TE,MIN,,,,,,,,,,,,,6.32,,,,,,,,,,160,0.00
Chris Myarick,2563210,TE,FA,,,,,,,,,,,,,,,,,,,,,,,161,0.00
Thomas Odukoya,2568828,TE,TEN,,,,,,,,,,,,,7.32,,,,,,,,,,162,0.00
Kehinde Oginni Hassan,2568426,TE,FA,,,,,,,,,,,,,,,,,,,,,,,163,0.00
Albert Okwuegbunam,2563911,TE,PHI,,,,,,,,,,,,,6.53,,,,,,,,,,164,0.00
Donald Parham,2562394,TE,DEN,,,,,,,,,,,,,10.43,,,,,,,,,,165,0.00
Henry Pearson,2570512,TE,FA,,,,,,,,,,,,,,,,,,,,,,,166,0.00
Josh Pederson,2567085,TE,FA,,,,,,,,,,,,,,,,,,,,,,,167,0.00
La'Michael Pettway,2571764,TE,FA,,,,,,,,,,,,,,,,,,,,,,,168,0.00
Chris Pierce,2569182,TE,FA,,,,,,,,,,,,,,,,,,,,,,,169,0.00
Mason Pline,2573542,TE,SF,,,,,,,,,,,,,13.88,,,,,,,,,,170,0.00
Gerrit Prince,2568960,TE,FA,,,,,,,,,,,,,,,,,,,,,,,171,0.00
Teagan Quitoriano,2567691,TE,HOU,,,,,,,,,,,,,11.27,,,,,,,,,,172,0.00
Kevin Rader,2561264,TE,FA,,,,,,,,,,,,,,,,,,,,,,,173,0.00
Isaac Rex,2573142,TE,FA,,,,,,,,,,,,,,,,,,,,,,,174,0.00
Sammis Reyes,2565807,TE,MIN,,,,,,,,,,,,,6.32,,,,,,,,,,175,0.00
Giovanni Ricci,2563668,TE,FA,,,,,,,,,,,,,,,,,,,,,,,176,0.00
Mike Rigerman,2572630,TE,FA,,,,,,,,,,,,,,,,,,,,,,,177,0.00
Armani Rogers,2568351,TE,ATL,,,,,,,,,,,,,11.01,,,,,,,,,,178,0.00
Hayden Rucci,2573764,TE,MIA,,,,,,,,,,,,,10.95,,,,,,,,,,179,0.00
Lincoln Sefcik,2572714,TE,FA,,,,,,,,,,,,,,,,,,,,,,,180,0.00
Bernhard Seikovits,2567076,TE,ARI,,,,,,,,,,,,,9.36,,,,,,,,,,181,0.00
Riley Sharp,2572636,TE,FA,,,,,,,,,,,,,,,,,,,,,,,182,0.00
Irv Smith,2562738,TE,HOU,,,,,,,,,,,,,11.27,,,,,,,,,,183,0.00
Matt Sokol,2562980,TE,FA,,,,,,,,,,,,,,,,,,,,,,,184,0.00
Geor'Quarius Spivey,2573887,TE,FA,,,,,,,,,,,,,,,,,,,,,,,185,0.00
John Stephens Jr.,2570894,TE,DAL,,,,,,,,,,,,,,,,,,,,,,,186,0.00
Steven Stilianos,2573485,TE,FA,,,,,,,,,,,,,,,,,,,,,,,187,0.00
Austin Stogner,2572893,TE,FA,,,,,,,,,,,,,,,,,,,,,,,188,0.00
Stephen Sullivan,2565192,TE,FA,,,,,,,,,,,,,,,,,,,,,,,189,0.00
Sage Surratt,2566911,TE,FA,,,,,,,,,,,,,,,,,,,,,,,190,0.00
Geoff Swaim,2553454,TE,CLE,,,,,,,,,,,,,10.05,,,,,,,,,,191,0.00
Tommy Sweeney,2562750,TE,CHI,,,,,,,,,,,,,,,,,,,,,,,192,0.00
Messiah Swinson,2572675,TE,GB,,,,,,,,,,,,,5.65,,,,,,,,,,193,0.00
Tanner Taula,2571587,TE,TB,,,,,,,,,,,,,10.85,,,,,,,,,,194,0.00
Ian Thomas,2560894,TE,CAR,,,,,,,,,,,,,7.75,,,,,3,,,,,195,0.00
Jordan Thomas,2560896,TE,FA,,,,,,,,,,,,,,,,,,,,,,,196,0.00
Logan Thomas,2543767,TE,FA,,,,,,,,,,,,,,,,,,,,,,,197,0.00
Noah Togiai,2564865,TE,FA,,,,,,,,,,,,,,,,,,,,,,,198,0.00
Eric Tomlinson,2553744,TE,LAC,,,,,,,,,,,,,9.07,,,,,1,,,,,199,0.00
Robert Tonyan,2559270,TE,MIN,,,,,,,,,,,,,6.32,,,,,,,,,,200,0.00
Cole Turner,2568354,TE,WAS,,,,,,,,,,,,,10.58,,,,,,,,,,201,0.00
C.J. Uzomah,2552559,TE,PHI,,,,,,,,,,,,,6.53,,,,,,,,,,202,0.00
Travis Vokolek,2570431,TE,ARI,,,,,,,,,,,,,9.36,,,,,,,,,,203,0.00
Darren Waller,2552408,TE,FA,,,,,,,,,,,,,,,,,,,,,,,204,0.00
Jacob Warren,2573355,TE,FA,,,,,,,,,,,,,,,,,,,,,,,205,0.00
Treyton Welch,2573040,TE,NO,,,,,,,,,,,,,10.25,,,,,,,,,,206,0.00
David Wells,2560925,TE,FA,,,,,,,,,,,,,,,,,,,,,,,207,0.00
Jack Westover,2572786,TE,NE,,,,,,,,,,,,,10.57,,,,,,,,,,208,0.00
Mitchell Wilcox,2563749,TE,NE,,,,,,,,,,,,,10.57,,,,,,,,,,209,0.00
Brayden Willis,2570293,TE,SF,,,,,,,,,,,,,13.88,,,,,,,,,,210,0.00
Joel Wilson,2571724,TE,FA,,,,,,,,,,,,,,,,,,,,,,,211,0.00
Jelani Woods,2567724,TE,IND,,,,,,,,,,,,,5.72,,,,,,,,,,212,0.00
Thomas Yassmin,2573109,TE,DEN,,,,,,,,,,,,,10.43,,,,,,,,,,213,0.00
Kenny Yeboah,2565768,TE,NYJ,,,,,,,,,,,,,10.48,,,,,,,,,,214,0.00
Shane Zylstra,2567172,TE,DET,,,,,,,,,,,,,10.90,,,,,,,,,,215,0.00
