PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Matthew Stafford,79860,QB,LAR,NO,229.94,1.53,0.73,2.22,0.06,,,,,,,0.31,13.82,22,102,0.00,-13.82
Easton Stick,2562745,QB,ATL,@NE,,,,,,,,,,,,,0.00,109,103,0.00,0.0
Jarrett Stidham,2562746,QB,DEN,@HOU,,,,,,,,,,,,,0.00,110,104,0.00,0.0
C.J. Stroud,2569819,QB,HOU,DEN,236.46,1.19,0.73,12.43,0.07,,,,,0.01,,0.43,13.62,24,105,0.00,-13.62
Nate Sudfeld,2555427,QB,FA,Bye,,,,,,,,,,,,,,111,106,0.00,
Tua Tagovailoa,2564499,QB,MIA,BAL,254.87,1.58,0.76,7.76,0.07,,,,,0.01,,0.58,15.09,17,107,0.00,-15.09
Tyrod Taylor,2495240,QB,NYJ,Bye,,,,,,,,,,,,,,112,108,0.00,
Skylar Thompson,2567895,QB,PIT,IND,,,,,,,,,,,,,0.00,113,109,0.00,0.0
Dorian Thompson-Robinson,2569672,QB,FA,Bye,,,,,,,,,,,,,,114,110,0.00,
Payton Thorne,2574041,QB,FA,Bye,,,,,,,,,,,,,,115,111,0.00,
Kyle Trask,2566571,QB,FA,Bye,,,,,,,,,,,,,,116,112,0.00,
Mitchell Trubisky,2558008,QB,BUF,KC,,,,,,,,,,,,,0.00,117,113,0.00,0.0
Clayton Tune,2570236,QB,GB,CAR,,,,,,,,,,,,,0.00,118,114,0.00,0.0
DJ Uiagalelei,2574532,QB,LAC,@TEN,,,,,,,,,,,,,0.00,119,115,0.00,0.0
Cam Ward,2574164,QB,TEN,LAC,198.39,1.21,0.76,13.25,0.12,,,,,0.01,,0.65,12.06,26,116,0.00,-12.06
Deshaun Watson,2558063,QB,CLE,Bye,,,,,,,,,,,,,,120,117,0.00,
Carson Wentz,2555259,QB,MIN,@DET,,,,,,,,,,,,,0.00,121,118,0.00,0.0
Mike White,2560929,QB,CIN,CHI,,,,,,,,,,,,,0.00,122,119,0.00,0.0
Caleb Williams,2571913,QB,CHI,@CIN,217.72,1.29,0.73,27.95,0.06,,,,,0.01,,0.63,14.36,21,120,0.00,-14.36
Malik Willis,2567667,QB,GB,CAR,,,,,,,,,,,,,0.00,123,121,0.00,0.0
Russell Wilson,2532975,QB,NYG,SF,214.3,1.48,0.69,15.23,0.15,,,,,0.01,,0.41,14.78,19,122,0.00,-14.78
Zach Wilson,2566391,QB,MIA,BAL,,,,,,,,,,,,,0.00,124,123,0.00,0.0
Dresser Winn,2569990,QB,FA,Bye,,,,,,,,,,,,,,125,124,0.00,
Jameis Winston,2552033,QB,NYG,SF,,,,,,,,,,,,,0.00,126,125,0.00,0.0
John Wolford,2561718,QB,FA,Bye,,,,,,,,,,,,,,127,126,0.00,
Logan Woodside,2560942,QB,PIT,IND,,,,,,,,,,,,,0.00,128,127,0.00,0.0
Ben Wooldridge,2574390,QB,FA,Bye,,,,,,,,,,,,,,129,128,0.00,
Bryce Young,2569606,QB,CAR,@GB,195.95,1.24,0.83,21.02,0.19,,,,,0.01,,0.62,13.20,25,129,0.00,-13.2
Bailey Zappe,2567961,QB,CLE,Bye,,,,,,,,,,,,,,130,130,0.00,
