PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Markees Watts,2571599,LB,TB,1,4,,,,,,,,,,,,,,,,217,3.90
Victor Dimukeje,2566424,LB,NYG,,2,,,,,,,,,,,,1,,,,218,3.70
Chris Board,2561301,LB,NYG,2,1,,,,,,,,,,,,,,,,219,3.60
Brennan Jackson,2572198,LB,LV,2,1,,,,,,,,,,,,,,,,220,3.60
Kyzir White,2560928,LB,TEN,2,1,,,,,,,,,,,,,,,,221,3.60
Cam Jones,2570728,LB,NYJ,1,3,,,,,,,,,,,,,,,,222,3.30
Maema Njongmeta,2573013,LB,CAR,1,3,,,,,,,,,,,,,,,,223,3.30
Curtis Robinson,2566875,LB,SF,1,3,,,,,,,,,,,,,,,,224,3.30
DJ Johnson,2569603,LB,FA,2,,,,,,,,,,,,,,,,,225,3.00
Zaire Barnes,2570185,LB,NYG,1,2,,,,,,,,,,,,,,,,226,2.70
Jack Cochrane,2568408,LB,KC,1,2,,,,,,,,,,,,,,,,227,2.70
Nick Hampton,2570008,LB,LAR,1,2,,,,,,,,,,,,,,,,228,2.70
Jack Kiser,2574220,LB,JAX,1,2,,,,,,,,,,,,,,,,229,2.70
David Ojabo,2567301,LB,BAL,1,1,,,,,,,,,,,,,1,,,230,2.60
Trevis Gipson,2563695,LB,SF,1,,,,,,1,,,,,,,,,,,231,2.50
Yasir Abdullah,2569891,LB,JAX,1,1,,,,,,,,,,,,,,,,232,2.10
Claudin Cherelus,2570617,LB,CAR,1,1,,,,,,,,,,,,,,,,233,2.10
Darius Harris,2563108,LB,NE,1,1,,,,,,,,,,,,,,,,234,2.10
Malik Harrison,2563554,LB,PIT,1,1,,,,,,,,,,,,,,,,235,2.10
Cameron McGrone,2566337,LB,FA,1,1,,,,,,,,,,,,,,,,236,2.10
Swayze Bozeman,2572811,LB,NYG,,3,,,,,,,,,,,,,,,,237,1.80
Jay Higgins,2573930,LB,BAL,,3,,,,,,,,,,,,,,,,238,1.80
Garret Wallow,2566139,LB,DEN,,3,,,,,,,,,,,,,,,,239,1.80
Demetrius Flannigan-Fowles,2563090,LB,NYG,1,,,,,,,,,,,,,,,,,240,1.50
Tomon Fox,2569137,LB,NYG,1,,,,,,,,,,,,,,,,,241,1.50
Smael Mondon Jr.,2574467,LB,PHI,1,,,,,,,,,,,,,,,,,242,1.50
Anthony Pittman,2563195,LB,FA,1,,,,,,,,,,,,,,,,,243,1.50
Jon Rhattigan,2567127,LB,LV,1,,,,,,,,,,,,,,,,,244,1.50
Jackson Sirmon,2572717,LB,NYJ,1,,,,,,,,,,,,,,,,,245,1.50
Krys Barnes,2563971,LB,CAR,,2,,,,,,,,,,,,,,,,246,1.20
Carlos Basham,2565863,LB,CAR,,2,,,,,,,,,,,,,,,,247,1.20
Cody Lindenberg,2574301,LB,LV,,2,,,,,,,,,,,,,,,,248,1.20
Monty Rice,2566121,LB,FA,,2,,,,,,,,,,,,,,,,249,1.20
Nick Martin,2574542,LB,SF,,1,,,,,,,,,,,,,,,,250,0.60
Ja'Markis Weston,2574453,LB,NYJ,,1,,,,,,,,,,,,,,,,251,0.60
