PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Javon Solomon,2571871,DL,BUF,7,6,1,1,,,,,,,,,,,2,,,187,18.60
Joshua Farmer,2574373,DL,NE,6,7,,1,,,1,,,,,,,1,,,,188,18.20
Braiden McGregor,2572705,DL,NYJ,5,6,1,1,,,,,,,,,,1,2,,,189,18.10
Mike Pennel,2550242,DL,KC,5,15,,1,,,,,,,,,,,,,,190,18.00
Jordan Phillips,2552492,DL,BUF,5,4,1,2,,,,,,,,,,1,1,,,191,17.90
Danny Striggow,2574234,DL,JAX,6,9,0.5,,,,1,,,,,,,,3,,,192,17.90
Kentavius Street,2560885,DL,ATL,6,8,1,1,,,,,,,,,,,1,,,193,17.80
Cory Durden,2570951,DL,NE,5,12,,2,,,,,,,,,,,,,,194,17.70
Basil Okoye,2571560,DL,BAL,6,7,,1,,,,,,,,,,1,1,,,195,17.70
Preston Smith,2552276,DL,WAS,5,12,,1,,,,,,,,,,,3,,,196,17.70
Tyrion Ingram-Dawkins,2574349,DL,MIN,4,6,1,2,,,,,,,,,,1,1,,,197,17.60
Austin Johnson,2556368,DL,JAX,4,5,1,,,1,,,,,,,,1,1,,,198,17.50
Nnamdi Madubuike,2563563,DL,BAL,5,2,2,2,,,,,,,,,,,3,,,199,17.20
CJ West,2574551,DL,SF,7,7,,1,,,,,,,,,,,,,,200,16.20
JT Tuimoloau,2574201,DL,IND,4,9,,1,,,,,,,,,,,6,,,201,15.90
Naquan Jones,2566953,DL,FA,6,4,,1,,,,,,,,,,1,,,,202,15.40
Alfred Collins,2574539,DL,SF,2,8,,,,1,2,,,,,,,,4,,,203,15.30
Cedric Johnson,2571931,DL,CIN,6,5,,,,,2,,,,,,,,2,,4,204,15.13
Mike Hall Jr.,2571949,DL,CLE,3,4,1.5,2,,,,,,,,,,,4,,,205,14.90
Foley Fatukasi,2560722,DL,HOU,5,3,1.5,1,,,,,,,,,,,2,,,206,14.80
Leki Fotu,2564910,DL,LV,3,5,1,3,,,,,,,,,,,1,,,207,14.50
DJ Davidson,2567991,DL,NYG,6,2,,1,,,,,,,,,,1,,,,208,14.20
Larrell Murchison,2564055,DL,LAR,2,5,2,2,,,,,,,,,,,2,,,209,14.00
Larry Ogunjobi,2557836,DL,BUF,6,3,,2,,,,,,,,,,,,,,210,13.80
Shy Tuttle,2563242,DL,TEN,6,5,,1,,,,,,,,,,,,,,211,13.50
Jonah Williams,2564403,DL,NO,3,4,1,2,,,,,,,,,,,3,,,212,13.40
Adin Huntington,2574048,DL,CLE,5,7,0.5,,,,,,,,,,,,1,,,213,13.20
Chris Williams,2564154,DL,CHI,4,7,1,,,,,,,,,,,,2,,,214,13.20
Matthew Butler,2567871,DL,MIA,6,5,,,,,,,,,,,,,2,,,215,13.00
Pat O'Connor,2558863,DL,DET,5,5,,,,,,,,,,,,1,,,,216,13.00
Maason Smith,2572159,DL,JAX,3,10,,,,,,,,,,,,1,,,,217,13.00
Sheldon Day,2555241,DL,WAS,6,5,,,,,,,,,,,,,1,,,218,12.50
Cameron Sample,2565959,DL,CIN,5,4,,1,,,,,,,,,,,2,,,219,12.40
Jalyn Holmes,2560744,DL,WAS,3,12,,,,,,,,,,,,,1,,,220,12.20
Shemar Turner,2574020,DL,CHI,6,,,2,,,,,,,,,,,,,,221,12.00
