PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Isaiah Johnson,2573265,DB,MIA,NE,,,,,,,,,,,,,,,,,,0.00,302,0.00,0.0
Jaylon Johnson,2563701,DB,CHI,MIN,,,,,,,,,,,,,,,,,,5.54,303,0.00,-5.54
John Johnson,2558183,DB,LAR,PHI,,,,,,,,,,,,,,,,,,0.00,304,0.00,0.0
Lawrence Johnson,2573382,DB,FA,Bye,,,,,,,,,,,,,,,,,,,305,0.00,
Lonnie Johnson,2562295,DB,CAR,KC,,,,,,,,,,,,,,,,,,1.07,306,0.00,-1.07
Nazeeh Johnson,2567793,DB,KC,@CAR,,,,,,,,,,,,,,,,,,1.33,307,0.00,-1.33
Quindell Johnson,2569981,DB,LAR,PHI,,,,,,,,,,,,,,,,,,0.00,308,0.00,0.0
Taron Johnson,2560766,DB,BUF,Bye,,,,,,,,,,,,,,,,,,,309,0.00,
Shaun Jolly,2568645,DB,LAR,PHI,,,,,,,,,,,,,,,,,,0.00,310,0.00,0.0
Brandon Jones,2564469,DB,DEN,@LV,,,,,,,,,,,,,,,,,,8.31,311,0.00,-8.31
Elijah Jones,2572417,DB,ARI,@SEA,,,,,,,,,,,,,,,,,,0.81,312,0.00,-0.81
Jack Jones,2567940,DB,LV,DEN,,,,,,,,,,,,,,,,,,5.24,313,0.00,-5.24
Jarrian Jones,2572144,DB,JAX,Bye,,,,,,,,,,,,,,,,,,,314,0.00,
Jaylon Jones,2567406,DB,CHI,MIN,,,,,,,,,,,,,,,,,,2.80,315,0.00,-2.8
Jaylon Jones,2569870,DB,IND,DET,,,,,,,,,,,,,,,,,,0.67,316,0.00,-0.67
Jonathan Jones,2556571,DB,NE,@MIA,,,,,,,,,,,,,,,,,,5.48,317,0.00,-5.48
Leon Jones,2573668,DB,FA,Bye,,,,,,,,,,,,,,,,,,,318,0.00,
Marcus Jones,2567943,DB,NE,@MIA,,,,,,,,,,,,,,,,,,5.45,319,0.00,-5.45
Myles Jones,2572699,DB,FA,Bye,,,,,,,,,,,,,,,,,,,320,0.00,
Nic Jones,2569933,DB,KC,@CAR,,,,,,,,,,,,,,,,,,0.00,321,0.00,0.0
Brandon Joseph,2570957,DB,DET,@IND,,,,,,,,,,,,,,,,,,0.56,322,0.00,-0.56
Kelvin Joseph,2566010,DB,FA,Bye,,,,,,,,,,,,,,,,,,,323,0.00,
Kerby Joseph,2567550,DB,DET,@IND,,,,,,,,,,,,,,,,,,10.23,324,0.00,-10.23
PJ Jules,2572998,DB,CIN,Bye,,,,,,,,,,,,,,,,,,,325,0.00,
Gregory Junior,2567748,DB,HOU,TEN,,,,,,,,,,,,,,,,,,0.00,326,0.00,0.0
Sanoussi Kane,2571829,DB,BAL,@LAC,,,,,,,,,,,,,,,,,,1.31,327,0.00,-1.31
Damontae Kazee,2558184,DB,PIT,@CLE,,,,,,,,,,,,,,,,,,1.30,328,0.00,-1.3
Kyu Kelly,2569570,DB,LV,DEN,,,,,,,,,,,,,,,,,,0.00,329,0.00,0.0
Anthony Kendall,2571467,DB,BAL,@LAC,,,,,,,,,,,,,,,,,,0.00,330,0.00,0.0
Derion Kendrick,2567841,DB,LAR,PHI,,,,,,,,,,,,,,,,,,0.00,331,0.00,0.0
Robert Kennedy,2573794,DB,FA,Bye,,,,,,,,,,,,,,,,,,,332,0.00,
Devon Key,2566995,DB,DEN,@LV,,,,,,,,,,,,,,,,,,0.58,333,0.00,-0.58
Jaylen Key,2572366,DB,NYJ,Bye,,,,,,,,,,,,,,,,,,,334,0.00,
Miles Killebrew,2555315,DB,PIT,@CLE,,,,,,,,,,,,,,,,,,0.60,335,0.00,-0.6
Kamren Kinchens,2572204,DB,LAR,PHI,,,,,,,,,,,,,,,,,,1.54,336,0.00,-1.54
Desmond King,2557927,DB,HOU,TEN,,,,,,,,,,,,,,,,,,0.00,337,0.00,0.0
Kalen King,2572039,DB,GB,SF,,,,,,,,,,,,,,,,,,0.00,338,0.00,0.0
Kevin King,2557996,DB,ATL,Bye,,,,,,,,,,,,,,,,,,,339,0.00,
Kader Kohou,2569032,DB,MIA,NE,,,,,,,,,,,,,,,,,,4.64,340,0.00,-4.64
Quentin Lake,2567844,DB,LAR,PHI,,,,,,,,,,,,,,,,,,8.90,341,0.00,-8.9
Chris Lammons,2561226,DB,IND,DET,,,,,,,,,,,,,,,,,,3.57,342,0.00,-3.57
Cam Lampkin,2573817,DB,LAR,PHI,,,,,,,,,,,,,,,,,,0.00,343,0.00,0.0
Kamari Lassiter,2572102,DB,HOU,TEN,,,,,,,,,,,,,,,,,,4.77,344,0.00,-4.77
Marshon Lattimore,2558061,DB,NO,Bye,,,,,,,,,,,,,,,,,,,345,0.00,
Raheem Layne,2569206,DB,NYG,TB,,,,,,,,,,,,,,,,,,0.00,346,0.00,0.0
Deommodore Lenoir,2566535,DB,SF,@GB,,,,,,,,,,,,,,,,,,7.94,347,0.00,-7.94
Deane Leonard,2568180,DB,LAC,BAL,,,,,,,,,,,,,,,,,,0.85,348,0.00,-0.85
Cam Lewis,2563205,DB,BUF,Bye,,,,,,,,,,,,,,,,,,,349,0.00,
Jourdan Lewis,2557920,DB,DAL,@WAS,,,,,,,,,,,,,,,,,,1.51,350,0.00,-1.51
