PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Joe Flacco,382,QB,IND,DET,,,,,,,,,,,,,0.00,36,0.00,0.0
Jake Fromm,2563608,QB,DET,@IND,,,,,,,,,,,,,0.00,37,0.00,0.0
Jimmy Garoppolo,2543801,QB,LAR,PHI,,,,,,,,,,,,,0.00,38,0.00,0.0
Jared Goff,2555334,QB,DET,@IND,,,,,,,,,,,,,13.25,39,0.00,-13.25
Will Grier,2562404,QB,PHI,@LAR,,,,,,,,,,,,,0.00,40,0.00,0.0
Jake Haener,2570131,QB,NO,Bye,,,,,,,,,,,,,,41,0.00,
Jaren Hall,2570083,QB,SEA,ARI,,,,,,,,,,,,,0.00,42,0.00,0.0
Gavin Hardison,2573262,QB,FA,Bye,,,,,,,,,,,,,,43,0.00,
Sam Hartman,2573599,QB,WAS,DAL,,,,,,,,,,,,,0.00,44,0.00,0.0
Taylor Heinicke,2553656,QB,LAC,BAL,,,,,,,,,,,,,0.00,45,0.00,0.0
Justin Herbert,2565045,QB,LAC,BAL,,,,,,,,,,,,,15.59,46,0.00,-15.59
Hendon Hooker,2569744,QB,DET,@IND,,,,,,,,,,,,,0.00,47,0.00,0.0
Sam Howell,2568333,QB,SEA,ARI,,,,,,,,,,,,,0.00,48,0.00,0.0
Tyler Huntley,2563560,QB,MIA,NE,,,,,,,,,,,,,0.00,49,0.00,0.0
Jalen Hurts,2564832,QB,PHI,@LAR,,,,,,,,,,,,,19.53,50,0.00,-19.53
Lamar Jackson,2560757,QB,BAL,@LAC,,,,,,,,,,,,,19.49,51,0.00,-19.49
Peewee Jarrett,2572690,QB,FA,Bye,,,,,,,,,,,,,,52,0.00,
Josh Johnson,264,QB,BAL,@LAC,,,,,,,,,,,,,0.00,53,0.00,0.0
Daniel Jones,2562299,QB,NYG,TB,,,,,,,,,,,,,14.93,54,0.00,-14.93
Emory Jones,2572796,QB,FA,Bye,,,,,,,,,,,,,,55,0.00,
Mac Jones,2566334,QB,JAX,Bye,,,,,,,,,,,,,,56,0.00,
Case Keenum,2532888,QB,HOU,TEN,,,,,,,,,,,,,0.00,57,0.00,0.0
Trey Lance,2566532,QB,DAL,@WAS,,,,,,,,,,,,,0.00,58,0.00,0.0
Trevor Lawrence,2566163,QB,JAX,Bye,,,,,,,,,,,,,,59,0.00,
Devin Leary,2571832,QB,BAL,@LAC,,,,,,,,,,,,,0.00,60,0.00,0.0
Will Levis,2569798,QB,TEN,@HOU,,,,,,,,,,,,,12.59,61,0.00,-12.59
Drew Lock,2562305,QB,NYG,TB,,,,,,,,,,,,,0.00,62,0.00,0.0
Rocky Lombardi,2573001,QB,FA,Bye,,,,,,,,,,,,,,63,0.00,
Jordan Love,2564007,QB,GB,SF,,,,,,,,,,,,,16.06,64,0.00,-16.06
Jake Luton,2564205,QB,FA,Bye,,,,,,,,,,,,,,65,0.00,
Patrick Mahomes,2558125,QB,KC,@CAR,,,,,,,,,,,,,18.91,66,0.00,-18.91
Marcus Mariota,2552466,QB,WAS,DAL,,,,,,,,,,,,,0.00,67,0.00,0.0
Adrian Martinez,2570984,QB,NYJ,Bye,,,,,,,,,,,,,,68,0.00,
Drake Maye,2572294,QB,NE,@MIA,,,,,,,,,,,,,12.56,69,0.00,-12.56
Baker Mayfield,2560800,QB,TB,@NYG,,,,,,,,,,,,,15.83,70,0.00,-15.83
J.J. McCarthy,2572270,QB,MIN,@CHI,,,,,,,,,,,,,0.00,71,0.00,0.0
Alex McGough,2561148,QB,FA,Bye,,,,,,,,,,,,,,72,0.00,
Tanner McKee,2570206,QB,PHI,@LAR,,,,,,,,,,,,,0.00,73,0.00,0.0
Trace McSorley,2562403,QB,FA,Bye,,,,,,,,,,,,,,74,0.00,
Davis Mills,2566136,QB,HOU,TEN,,,,,,,,,,,,,0.00,75,0.00,0.0
Joe Milton III,2572297,QB,NE,@MIA,,,,,,,,,,,,,0.00,76,0.00,0.0
Gardner Minshew,2562796,QB,LV,DEN,,,,,,,,,,,,,12.15,77,0.00,-12.15
Kellen Mond,2566310,QB,FA,Bye,,,,,,,,,,,,,,78,0.00,
Tanner Mordecai,2573533,QB,SF,@GB,,,,,,,,,,,,,0.00,79,0.00,0.0
Nick Mullens,2558979,QB,MIN,@CHI,,,,,,,,,,,,,0.00,80,0.00,0.0
Kyler Murray,2562382,QB,ARI,@SEA,,,,,,,,,,,,,17.08,81,0.00,-17.08
Bo Nix,2572003,QB,DEN,@LV,,,,,,,,,,,,,13.01,82,0.00,-13.01
Aidan O'Connell,2570044,QB,LV,DEN,,,,,,,,,,,,,0.00,83,0.00,0.0
Chris Oladokun,2568153,QB,KC,@CAR,,,,,,,,,,,,,0.00,84,0.00,0.0
John Paddock,2572878,QB,FA,Bye,,,,,,,,,,,,,,85,0.00,
Andrew Peasley,2572859,QB,FA,Bye,,,,,,,,,,,,,,86,0.00,
Michael Penix Jr.,2571814,QB,ATL,Bye,,,,,,,,,,,,,,87,0.00,
Luis Perez,2561124,QB,FA,Bye,,,,,,,,,,,,,,88,0.00,
E.J. Perry,2567769,QB,FA,Bye,,,,,,,,,,,,,,89,0.00,
Nathan Peterman,2558191,QB,ATL,Bye,,,,,,,,,,,,,,90,0.00,
Kenny Pickett,2568162,QB,PHI,@LAR,,,,,,,,,,,,,0.00,91,0.00,0.0
