PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Carlos Davis,2564976,DL,FA,Bye,,,,,,,,,,,,,,,,,,,94,0.00,
Domenique Davis,2565501,DL,CIN,Bye,,,,,,,,,,,,,,,,,,,95,0.00,
Jordan Davis,2568069,DL,PHI,@LAR,,,,,,,,,,,,,,,,,,3.68,96,0.00,-3.68
Kalia Davis,2568204,DL,SF,@GB,,,,,,,,,,,,,,,,,,0.00,97,0.00,0.0
Khalil Davis,2565210,DL,HOU,TEN,,,,,,,,,,,,,,,,,,0.56,98,0.00,-0.56
Raekwon Davis,2564445,DL,IND,DET,,,,,,,,,,,,,,,,,,0.00,99,0.00,0.0
Tyler Davis,2572192,DL,LAR,PHI,,,,,,,,,,,,,,,,,,0.81,100,0.00,-0.81
Denzel Daxon,2573046,DL,DAL,@WAS,,,,,,,,,,,,,,,,,,0.00,101,0.00,0.0
Sheldon Day,2555241,DL,WAS,DAL,,,,,,,,,,,,,,,,,,0.00,102,0.00,0.0
Branson Deen,2573647,DL,BUF,Bye,,,,,,,,,,,,,,,,,,,103,0.00,
Gervon Dexter Sr.,2569621,DL,CHI,MIN,,,,,,,,,,,,,,,,,,2.52,104,0.00,-2.52
Matt Dickerson,2561044,DL,FA,Bye,,,,,,,,,,,,,,,,,,,105,0.00,
Brandon Dorlus,2571802,DL,ATL,Bye,,,,,,,,,,,,,,,,,,,106,0.00,
Khalid Duke,2573446,DL,TEN,@HOU,,,,,,,,,,,,,,,,,,0.00,107,0.00,0.0
Cory Durden,2570951,DL,LAR,PHI,,,,,,,,,,,,,,,,,,0.00,108,0.00,0.0
Michael Dwumfour,2565723,DL,FA,Bye,,,,,,,,,,,,,,,,,,,109,0.00,
Kenny Dyson,2573662,DL,CAR,KC,,,,,,,,,,,,,,,,,,0.00,110,0.00,0.0
Justin Eboigbe,2572468,DL,LAC,BAL,,,,,,,,,,,,,,,,,,0.61,111,0.00,-0.61
Samson Ebukam,2558830,DL,IND,DET,,,,,,,,,,,,,,,,,,0.00,112,0.00,0.0
Mario Edwards,2553433,DL,HOU,TEN,,,,,,,,,,,,,,,,,,0.68,113,0.00,-0.68
Daniel Ekuale,2561458,DL,NE,@MIA,,,,,,,,,,,,,,,,,,0.48,114,0.00,-0.48
Jordan Elliott,2563779,DL,SF,@GB,,,,,,,,,,,,,,,,,,0.61,115,0.00,-0.61
Jonah Elliss,2571991,DL,DEN,@LV,,,,,,,,,,,,,,,,,,1.48,116,0.00,-1.48
Prince Emili,2569480,DL,FA,Bye,,,,,,,,,,,,,,,,,,,117,0.00,
A.J. Epenesa,2563605,DL,BUF,Bye,,,,,,,,,,,,,,,,,,,118,0.00,
James Ester,2572657,DL,GB,SF,,,,,,,,,,,,,,,,,,0.00,119,0.00,0.0
Joe Evans,2572609,DL,FA,Bye,,,,,,,,,,,,,,,,,,,120,0.00,
Neil Farrell,2567874,DL,MIA,NE,,,,,,,,,,,,,,,,,,0.00,121,0.00,0.0
Foley Fatukasi,2560722,DL,HOU,TEN,,,,,,,,,,,,,,,,,,3.38,122,0.00,-3.38
Breiden Fehoko,2565030,DL,FA,Bye,,,,,,,,,,,,,,,,,,,123,0.00,
Viliami Fehoko Jr.,2569702,DL,FA,Bye,,,,,,,,,,,,,,,,,,,124,0.00,
Clelin Ferrell,2562263,DL,WAS,DAL,,,,,,,,,,,,,,,,,,2.40,125,0.00,-2.4
Malik Fisher,2573879,DL,FA,Bye,,,,,,,,,,,,,,,,,,,126,0.00,
Braden Fiske,2572195,DL,LAR,PHI,,,,,,,,,,,,,,,,,,4.63,127,0.00,-4.63
Leonard Floyd,2555285,DL,SF,@GB,,,,,,,,,,,,,,,,,,6.50,128,0.00,-6.5
Jonathan Ford,2567592,DL,GB,SF,,,,,,,,,,,,,,,,,,0.00,129,0.00,0.0
Poona Ford,2561195,DL,LAC,BAL,,,,,,,,,,,,,,,,,,3.19,130,0.00,-3.19
Isaiah Foskey,2570134,DL,NO,Bye,,,,,,,,,,,,,,,,,,,131,0.00,
Leki Fotu,2564910,DL,NYJ,Bye,,,,,,,,,,,,,,,,,,,132,0.00,
Dante Fowler Jr.,2553431,DL,WAS,DAL,,,,,,,,,,,,,,,,,,3.21,133,0.00,-3.21
Morgan Fox,2556529,DL,LAC,BAL,,,,,,,,,,,,,,,,,,2.11,134,0.00,-2.11
Tomari Fox,2573217,DL,LV,DEN,,,,,,,,,,,,,,,,,,0.00,135,0.00,0.0
Ja'Mion Franklin,2572612,DL,FA,Bye,,,,,,,,,,,,,,,,,,,136,0.00,
TJ Franklin,2573220,DL,FA,Bye,,,,,,,,,,,,,,,,,,,137,0.00,
John Franklin-Myers,2560731,DL,DEN,@LV,,,,,,,,,,,,,,,,,,3.64,138,0.00,-3.64
Amari Gainer,2573223,DL,LV,DEN,,,,,,,,,,,,,,,,,,0.00,139,0.00,0.0
Greg Gaines,2562391,DL,TB,@NYG,,,,,,,,,,,,,,,,,,2.51,140,0.00,-2.51
Neville Gallimore,2563842,DL,LAR,PHI,,,,,,,,,,,,,,,,,,1.98,141,0.00,-1.98
Elijah Garcia,2567829,DL,NYG,TB,,,,,,,,,,,,,,,,,,0.00,142,0.00,0.0
Myles Garrett,2557965,DL,CLE,PIT,,,,,,,,,,,,,,,,,,8.18,143,0.00,-8.18
