PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Carlton Davis III,2561039,DB,NE,Bye,,,,,,,,,,,,,,,,,,,314,136,0.00,
Jaden Davis,2572408,DB,ARI,LAR,,,,,,,,,,,,,,,,,,0.00,315,137,0.00,0.0
Jalen Davis,2561316,DB,CIN,@BUF,,,,,,,,,,,,,,,,,,0.00,316,138,0.00,0.0
Michael Davis,2559164,DB,NO,@TB,,,,,,,,,,,,,,,,,,0.00,317,139,0.00,0.0
Elliott Davison,2574396,DB,NO,@TB,,,,,,,,,,,,,,,,,,0.00,318,140,0.00,0.0
Jamel Dean,2562556,DB,TB,NO,2.89,0.98,,,0.06,,,,,,,,,0.49,,1.42,,6.41,89,141,0.00,-6.41
Cooper DeJean,2572375,DB,PHI,@LAC,3.44,1.48,0.08,0.31,0.08,0.08,0.16,,,,,,,0.55,0.16,2.11,,8.92,22,142,0.00,-8.92
Grant Delpit,2563773,DB,CLE,TEN,3.89,2.14,0.06,0.34,0.06,,0.06,,,,,,,0.11,0.23,0.79,,8.44,35,143,0.00,-8.44
MJ Devonshire,2572222,DB,FA,Bye,,,,,,,,,,,,,,,,,,,319,144,0.00,
Marcellas Dial Jr.,2572291,DB,NE,Bye,,,,,,,,,,,,,,,,,,,320,145,0.00,
Quandre Diggs,2552262,DB,SEA,@ATL,,,,,,,,,,,,,,,,,,0.00,321,146,0.00,0.0
Trevon Diggs,2563836,DB,DAL,@DET,3.22,0.7,,,0.17,,,,,,,,,1.04,,1.39,,8.49,32,147,0.00,-8.49
Malik Dixon-Williams,2574263,DB,FA,Bye,,,,,,,,,,,,,,,,,,,322,148,0.00,
Khalil Dorsey,2565336,DB,DET,DAL,0.12,0.18,,,0.06,,,,,,,,,0.06,,,,0.65,224,149,0.00,-0.65
Mello Dotson,2574290,DB,FA,Bye,,,,,,,,,,,,,,,,,,,323,150,0.00,
