PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Patrick Ricard,2558990,RB,BAL,,,,2,6,54,1,,,,,22.11,1,6,7,6,9,67,1,1,1,90,14.60
Nick Bellore,2495262,RB,SEA,,,,,,,,,,,,22.02,,,,,,,,,,91,14.30
Keith Smith,2550400,RB,ATL,,,,18,4,24,,,,,,19.64,5,4,9,4,5,80,,,,92,12.90
Derek Watt,2555220,RB,PIT,,,,,2,6,,,,,,28.88,,2,2,2,2,100,,,,93,12.60
C.J. Ham,2556803,RB,MIN,,,,34,7,53,,,,,,25.78,6,7,13,7,7,100,,2,1,94,12.20
Marlon Mack,2558123,RB,IND,,,,101,2,8,,,,,,21.45,28,2,30,2,5,40,,2,,95,11.90
Dare Ogunbowale,2559362,RB,JAX,,,,13,3,32,,,,,,16.62,5,3,8,3,3,100,,1,1,96,11.90
Eno Benjamin,2564889,RB,ARI,,,,46,,,,,,,,17.74,11,,11,,,,,,,97,11.40
Jermar Jefferson,2566058,RB,DET,,,,6,4,23,,,,,,17.09,2,4,6,4,4,100,,1,1,98,10.90
Royce Freeman,2560733,RB,FA,,,,77,3,15,,,,,,,,,,,,,,,,99,10.70
Tony Jones,2564679,RB,NO,,,,77,4,10,,,,,,19.54,19,4,23,4,6,67,1,3,,100,10.70
Jonathan Ward,2564949,RB,ARI,,,,21,,,,,,,,17.74,5,,5,,,,,,,101,10.60
Alex Armah,2558833,RB,NO,,,,21,1,1,1,,,,,19.54,5,1,6,1,1,100,1,2,1,102,10.40
Tevin Coleman,2552453,RB,NYJ,,,,73,2,17,,,,,,15.01,21,2,23,2,3,67,2,2,1,103,10.00
Andy Janovich,2555432,RB,CLE,,,,,,,,,,1,,21.57,2,,2,,1,,,2,1,104,9.70
Trenton Cannon,2561137,RB,SF,,,,4,,,,,,,1,21.67,3,,3,,,,,,,105,9.40
