PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Adam Shaheen,2558144,TE,MIA,,,,,7,46,,,,,,14.71,,7,7,7,10,70,2,1,,73,8.10
Chris Herndon,2560738,TE,MIN,,,,,2,9,1,,,,,16.71,,2,2,2,4,50,1,1,1,74,7.90
Antony Auclair,2559044,TE,HOU,,,,,1,11,1,,,,,12.54,,1,1,1,1,100,1,1,,75,7.60
Charlie Woerner,2565129,TE,SF,,,,,4,41,,,,,,4.95,,4,4,4,5,80,,,,76,6.90
Cethan Carter,2558929,TE,MIA,,,,,2,16,,,,,,14.71,,2,2,2,2,100,,,,77,6.70
Darren Fells,2540928,TE,DET,,,,,4,43,,,,,,,,,,,,,,,,78,6.30
Luke Farrell,2566160,TE,JAX,,,,,6,49,,,,,1,7.66,,6,6,6,8,75,1,1,,79,5.90
Derek Carrier,2534241,TE,LV,,,,,2,13,,,,,,9.66,,2,2,2,2,100,,,,80,5.70
Blake Bell,2552478,TE,KC,,,,2,4,33,,,,,,10.60,1,4,5,4,6,67,,,,81,5.50
Garrett Griffin,2557033,TE,NO,,,,,3,30,,,,,,11.44,,3,3,3,3,100,,,,82,5.30
Trevon Wesco,2562777,TE,NYJ,,,,,,,,,,,,13.40,,,,,2,,,,,83,5.20
Tyler Davis,2564178,TE,GB,,,,,,,,,,,,15.01,,,,,,,,,,84,5.10
Josiah Deguara,2563980,TE,GB,,,,,4,28,,,,,,15.01,,4,4,4,4,100,,,,85,4.80
Tommy Hudson,2565450,TE,TEN,,,,,3,31,,,,,,11.83,,3,3,3,5,60,1,1,,86,4.60
Kylen Granson,2566145,TE,IND,,,,,4,22,,,,,,12.73,,4,4,4,6,67,1,1,1,87,4.20
J.P. Holtz,2556852,TE,CHI,,,,,,,,,,,,9.37,,,,,,,,,,88,3.40
Johnny Mundt,2558875,TE,LA,,,,,1,9,,,,,,7.93,,1,1,1,1,100,,,,89,3.10
Noah Gray,2566178,TE,KC,,,,,2,9,,,,,,10.60,,2,2,2,3,67,1,,1,90,2.70
Drew Sample,2562720,TE,CIN,,,,,2,9,,,,,,9.04,,2,2,2,5,40,,,,91,2.70
Darrell Daniels,2558886,TE,ARI,,,,,,,,,,,,8.31,,,,,1,,1,,,92,2.50
Giovanni Ricci,2563668,TE,CAR,,,,,,,,,,,,6.31,,,,,,,,,,93,2.50
Reggie Gilliam,2565378,TE,BUF,,,,3,1,8,,,,,,13.67,3,1,4,1,2,50,1,2,,94,2.40
John Bates,2566580,TE,WAS,,,,,2,11,,,,,,,,,,,,,,,,95,2.10
Jimmy Graham,497236,TE,CHI,,,,,1,11,,,,,,9.37,,1,1,1,3,33,1,1,,96,1.60
Jack Stoll,2567061,TE,PHI,,,,,1,9,,,,,,14.21,,1,1,1,1,100,1,1,,97,1.40
Luke Stocker,2495234,TE,FA,,,,,1,7,,,,,,,,,,,,,,,,98,1.20
Daniel Brown,2553900,TE,KC,,,,,,,,,,,,10.60,,,,,,,,,,99,0.80
Colby Parkinson,2565180,TE,SEA,,,,,1,1,,,,,,,,,,,,,,,,100,0.60
Deon Yelder,2561293,TE,FA,,,,,1,,,,,,,,,,,,,,,,,101,0.50
Devin Asiasi,2564586,TE,NE,,,,,,,,,,,,9.54,,,,,,,,,,102,0.00
Marcus Baugh,2560971,TE,FA,,,,,,,,,,,,,,,,,,,,,,103,0.00
Evan Baylis,2559299,TE,FA,,,,,,,,,,,,,,,,,,,,,,104,0.00
Andrew Beck,2562626,TE,DEN,,,,,,,,,,,,12.77,,,,,,,,,,105,0.00
Nate Becker,2563191,TE,FA,,,,,,,,,,,,,,,,,,,,,,106,0.00
Ryan Becker,2564886,TE,ATL,,,,,,,,,,,,6.56,,,,,,,,,,107,0.00
Kelvin Benjamin,2543471,TE,FA,,,,,,,,,,,,,,,,,,,,,,108,0.00
Kendall Blanton,2562234,TE,LA,,,,,,,,,,,,7.93,,,,,,,,,,109,0.00
