PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
DeAndre Carter,2553502,WR,WAS,,,,40,9,141,1,1,,,1,32.68,3,9,12,9,17,53,1,2,,85,34.30
DeSean Jackson,1581,WR,LV,,,,,8,221,1,,,,,29.21,,8,8,8,15,53,,,,86,33.80
Demarcus Robinson,2555478,WR,KC,,,,,13,153,2,,,,,22.14,,13,13,13,22,59,3,2,,87,33.80
Odell Beckham Jr.,2543496,WR,FA,,,,14,17,232,,,,,,,,,,,,,,,,88,33.10
Ashton Dulin,2562646,WR,IND,,,,-7,9,70,,,,,,32.43,1,9,10,9,16,56,,,,89,33.00
Chester Rogers,2556396,WR,TEN,,,,9,14,186,1,,,,,36.16,1,14,15,14,23,61,3,1,1,90,32.50
Jarvis Landry,2543488,WR,CLE,,,,18,19,193,,,,,2,28.58,4,19,23,19,29,66,3,4,1,91,32.40
Adam Humphries,2553895,WR,WAS,,,,,20,220,,,,,,32.68,,20,20,20,29,69,3,2,,92,32.00
Darius Slayton,2562736,WR,NYG,,,,,12,190,1,,,,,,,,,,,,,,,93,31.00
D.J. Chark,2561018,WR,JAX,,,,,7,154,2,,,,,35.62,,7,7,7,22,32,1,1,,94,30.90
Gabriel Davis,2563602,WR,BUF,,,,,10,133,2,,,,,26.29,,10,10,10,17,59,5,3,3,95,30.30
Russell Gage,2561061,WR,ATL,,,,,16,159,1,,,,,34.06,,16,16,16,23,70,3,2,2,96,29.90
Rashard Higgins,2555468,WR,CLE,,,,,14,168,1,,,,,28.58,,14,14,14,25,56,3,2,2,97,29.80
Brandon Zylstra,2560243,WR,CAR,,,,,8,139,1,,,,,30.87,,8,8,8,8,100,2,2,,98,28.90
Chris Conley,2552652,WR,HOU,,,,,10,196,1,,,,1,,,,,,,,,,,99,28.60
Nico Collins,2566127,WR,HOU,,,,,15,191,,,,,,,,,,,,,,,,100,28.30
Chris Moore,2555209,WR,HOU,,,,,12,143,1,,,,,,,,,,,,,,,101,28.00
John Ross,2558010,WR,NYG,,,,,8,189,1,,,,1,,,,,,,,,,,102,27.90
JuJu Smith-Schuster,2558149,WR,PIT,,,,9,15,129,,,,,,29.79,3,15,18,15,28,54,,1,1,103,27.30
Parris Campbell,2562495,WR,IND,,,,,10,162,1,,,,,32.43,,10,10,10,17,59,1,1,,104,27.20
Mohamed Sanu,2533040,WR,SF,,,,,15,177,,,,,,28.88,,15,15,15,24,63,4,3,1,105,26.90
Kendall Hinton,2563893,WR,DEN,,,,,12,145,1,,,,,24.72,,12,12,12,15,80,2,1,1,106,26.50
Tyler Johnson,2565225,WR,TB,,,,,14,191,,,,,,36.35,,14,14,14,22,64,3,1,2,107,26.10
Jerry Jeudy,2563896,WR,DEN,,,,,16,180,,,,,,24.72,1,16,17,16,19,84,2,2,1,108,26.00
Tajae Sharpe,2555317,WR,ATL,,,,,16,170,,,,,,34.06,,16,16,16,19,84,,,,109,25.00
Zay Jones,2557863,WR,LV,,,,,7,135,1,,,,,29.21,,7,7,7,11,64,2,,,110,24.70
Marquise Goodwin,2539964,WR,CHI,,,,-1,12,173,,,,,,,,,,,,,,,,111,24.00
Danny Amendola,2649,WR,HOU,,,,,14,112,1,,,,1,,,,,,,,,,,112,23.90
Jalen Guyton,2562844,WR,LAC,,,,32,11,158,,,,,1,33.45,4,11,15,11,22,50,2,1,1,113,23.50
James Washington,2560920,WR,PIT,,,,13,12,154,,,,,,29.79,2,12,14,12,18,67,2,2,,114,22.70
Rashod Bateman,2565836,WR,BAL,,,,,12,161,,,,,,36.10,,12,12,12,20,60,1,1,,115,22.10
Josh Palmer,2566502,WR,LAC,,,,,9,104,1,,,,,33.45,,9,9,9,13,69,,,,116,20.90
Tre'Quan Smith,2560878,WR,NO,,,,,7,97,1,,,,,39.90,,7,7,7,10,70,2,2,1,117,20.90
Dante Pettis,2560836,WR,NYG,16,,,,10,87,1,,,,1,,,,,,,,,,,118,20.04
Marquez Valdes-Scantling,2560907,WR,GB,,,,,8,95,1,,,,,29.86,,8,8,8,18,44,2,1,1,119,19.50
Terrace Marshall Jr.,2565902,WR,CAR,,,,,14,116,,,,,,30.87,,14,14,14,23,61,3,2,1,120,18.60
Malik Turner,2561671,WR,DAL,,,,,5,33,2,,,,,31.78,,5,5,5,8,63,4,3,3,121,17.80
Anthony Schwartz,2565986,WR,CLE,,,,12,8,117,,,,,,28.58,3,8,11,8,16,50,,,,122,16.90
Denzel Mims,2564802,WR,NYJ,,,,,7,129,,,,,,20.65,,7,7,7,14,50,1,,,123,16.40
Greg Ward,2559278,WR,PHI,,,,,2,30,2,,,,,28.96,,2,2,2,3,67,3,2,1,124,16.00
James Proche,2563572,WR,BAL,,,,,8,118,,,,,,36.10,,8,8,8,11,73,,,,125,15.80
Kenny Stills,2540202,WR,NO,,,,1,5,64,1,,,,,39.90,1,5,6,5,17,29,2,1,,126,15.00
Collin Johnson,2564202,WR,NYG,,,,,10,89,,,,,,,,,,,,,,,,127,14.70
Marcus Kemp,2559076,WR,KC,,,,,1,8,,,,,,22.14,,1,1,1,2,50,,,,128,14.70
Noah Brown,2558091,WR,DAL,,,,,7,99,,,,,,31.78,,7,7,7,10,70,1,1,,129,14.20
Josh Reynolds,2558194,WR,TEN,,,,,10,90,,,,,,36.16,,10,10,10,13,77,1,,,130,14.00
Chris Hogan,2530515,WR,FA,,,,,4,41,1,,,,,,,,,,,,,,,131,13.80
Trent Sherfield,2561272,WR,SF,,,,,4,41,1,,,,,28.88,,4,4,4,10,40,1,1,1,132,13.80
Ben Skowronek,2566247,WR,LA,,,,,3,30,,,,,,28.65,,3,3,3,3,100,,,,133,13.80
Auden Tate,2560890,WR,CIN,,,,,3,39,1,,,,,,,,,,,,,,,134,13.10
Kevin White,2553432,WR,NO,,,,,1,38,,,,,,39.90,,1,1,1,3,33,,,,135,12.80
Jeff Smith,2562845,WR,NYJ,,,,-1,6,98,,,,,,20.65,1,6,7,6,9,67,,,,136,12.70
T.Y. Hilton,2532865,WR,IND,,,,,6,96,,,,,,32.43,,6,6,6,9,67,,,,137,12.60
Jauan Jennings,2565114,WR,SF,,,,,3,31,1,,,,,28.88,,3,3,3,6,50,1,1,,138,12.30
Dyami Brown,2566586,WR,WAS,,,,-4,8,81,,,,,,32.68,1,8,9,8,20,40,2,1,,139,11.70
Cyril Grayson,2558808,WR,TB,,,,,1,50,1,,,,,36.35,,1,1,1,1,100,,,,140,11.50
Anthony Miller,2560810,WR,PIT,,,,,5,23,1,,,,,29.79,,5,5,5,11,45,1,1,1,141,10.80
Christian Blake,2561443,WR,ATL,,,,,3,20,,,,,,34.06,,3,3,3,5,60,,,,142,10.30
Tavon Austin,2539336,WR,JAX,,,,,7,67,,,,,,35.62,,7,7,7,12,58,1,1,,143,10.20
Trinity Benson,2563035,WR,DET,,,,,6,55,,,,,,31.85,,6,6,6,15,40,1,,,144,10.20
N'Keal Harry,2562659,WR,NE,,,,,5,77,,,,,,30.11,,5,5,5,7,71,,,,145,10.20
KhaDarel Hodge,2561653,WR,DET,,,,,6,51,,,,1,,31.85,,6,6,6,14,43,3,1,,146,10.10
Cameron Batson,2561521,WR,TEN,,,,15,2,15,1,,,,,36.16,2,2,4,2,5,40,2,1,1,147,10.00
K.J. Hamler,2563890,WR,DEN,,,,,5,74,,,,,,24.72,,5,5,5,10,50,1,1,,148,9.90
