PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Jalen Morton,2564013,QB,FA,,,,,,,,,,,,,,,,,,,,,,101,0.00
Jamie Newman,2567058,QB,FA,,,,,,,,,,,,,,,,,,,,,,102,0.00
Cam Newton,2495455,QB,FA,,,,,,,,,,,,,,,,,,,,,,103,0.00
Bryce Perkins,2564382,QB,LA,,,,,,,,,,,,19.53,1,,1,,,,,,,104,0.00
Philip Rivers,2506121,QB,FA,,,,,,,,,,,,,,,,,,,,,,105,0.00
Josh Rosen,2560858,QB,ATL,,,,,,,,,,,,19.29,,,,,,,,,,106,0.00
Jake Rudock,2556232,QB,FA,,,,,,,,,,,,,,,,,,,,,,107,0.00
Mason Rudolph,2560860,QB,PIT,,,,,,,,,,,,18.66,,,,,,,,,,108,0.00
Brett Rypien,2562718,QB,DEN,,,,,,,,,,,,17.22,,,,,,,,,,109,0.00
Matt Schaub,2505982,QB,FA,,,,,,,,,,,,,,,,,,,,,,110,0.00
Kyle Shurmur,2562731,QB,WAS,,,,,,,,,,,,18.64,,,,,,,,,,111,0.00
Reid Sinnett,2565255,QB,PHI,,,,,,,,,,,,14.12,,,,,,,,,,112,0.00
Alex Smith,2506340,QB,FA,,,,,,,,,,,,,,,,,,,,,,113,0.00
Nate Stanley,2564577,QB,MIN,,,,,,,,,,,,14.25,,,,,,,,,,114,0.00
Drew Stanton,2495748,QB,FA,,,,,,,,,,,,,,,,,,,,,,115,0.00
Tommy Stevens,2564697,QB,FA,,,,,,,,,,,,,,,,,,,,,,116,0.00
Easton Stick,2562745,QB,LAC,,,,,,,,,,,,18.34,,1,1,1,1,100,,,,117,0.00
Jarrett Stidham,2562746,QB,NE,,,,,,,,,,,,18.49,,,,,,,,,,118,0.00
Nate Sudfeld,2555427,QB,SF,,,,,,,,,,,,15.88,,,,,,,,,,119,0.00
Clayton Thorson,2562762,QB,FA,,,,,,,,,,,,,,,,,,,,,,120,0.00
Kyle Trask,2566571,QB,TB,,,,,,,,,,,,24.96,,,,,,,,,,121,0.00
Deshaun Watson,2558063,QB,HOU,,,,,,,,,,,,,,,,,,,,,,122,0.00
Davis Webb,2557897,QB,BUF,,,,,,,,,,,,18.35,,,,,,,,,,123,0.00
Logan Woodside,2560942,QB,TEN,,,,-3,,,,,,,,16.77,3,,3,,,,,,,124,-0.30
Jacob Eason,2564115,QB,SEA,25,,1,,,,,,,,,16.67,,,,,,,,,,125,-1.00
Ryan Fitzpatrick,2506581,QB,WAS,13,,,2,,,,,,,1,18.64,1,,1,,,,,1,,126,-1.28
David Blough,2563043,QB,DET,,,,6,,,,,,,1,16.77,1,,1,,,,,,,127,-1.40
John Wolford,2561718,QB,LA,5,,1,-1,,,,,,,,19.53,2,,2,,,,,,,128,-1.90
