PlayerName,PlayerId,Pos,Team,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TangetsReceptions,Rank,TotalPoints
Ty Montgomery,2552429,RB,NO,,,,,,,,,,,,24.00,,,,,71,1.70
Royce Freeman,2560733,RB,CAR,,,,2,1,6,,,,,,21.80,,,,,72,1.30
Carlos Hyde,2543743,RB,JAX,,,,13,,,,,,,,16.19,,,,,73,1.30
Jaret Patterson,2567160,RB,WAS,,,,13,,,,,,,,,,,,,74,1.30
J.D. McKissic,2556440,RB,WAS,,,,-1,1,8,,,,,,,,,,,75,1.20
Tevin Coleman,2552453,RB,NYJ,,,,11,,,,,,,,16.18,,,,,76,1.10
Kenyan Drake,2555230,RB,LV,,,,11,,,,,,,,24.35,,,,,77,1.10
Kylin Hill,2566076,RB,GB,,,,,1,5,,,,,,22.10,,,,,78,1.00
Saquon Barkley,2560968,RB,NYG,,,,9,,,,,,,,24.06,,,,,79,0.90
Jalen Richard,2556885,RB,LV,,,,,1,4,,,,,,24.35,,,,,80,0.90
Eno Benjamin,2564889,RB,ARI,,,,,,,,,,,,21.00,,,,,81,0.80
Godwin Igwebuike,2560749,RB,DET,,,,,,,,,,,,,,,,,82,0.80
Jonathan Ward,2564949,RB,ARI,,,,,,,,,,,,21.00,,,,,83,0.80
Derek Watt,2555220,RB,PIT,,,,,,,,,,,,21.83,,,,,84,0.80
Trey Sermon,2566544,RB,SF,,,,7,,,,,,,,18.49,,,,,85,0.70
Elijhaa Penny,2556762,RB,NYG,,,,4,,,,,,,,24.06,,,,,86,0.40
Ameer Abdullah,2552374,RB,CAR,,,,2,,,,,,,,21.80,,,,,87,0.20
Wayne Gallman,2557952,RB,ATL,,,,2,,,,,,,,17.23,,,,,88,0.20
Josh Adams,2560949,RB,FA,,,,,,,,,,,,,,,,,89,0.00
Cam Akers,2564319,RB,LA,,,,,,,,,,,,19.88,,,,,90,0.00
Darius Anderson,2563824,RB,FA,,,,,,,,,,,,,,,,,91,0.00
Alex Armah,2558833,RB,NO,,,,,,,,,,,,24.00,,,,,92,0.00
Ryquell Armstead,2562622,RB,FA,,,,,,,,,,,,,,,,,93,0.00
Kalen Ballage,2560967,RB,PIT,,,,,,,,,,,,21.83,,,,,94,0.00
Peyton Barber,2556466,RB,LV,,,,,,,,,,,,24.35,,,,,95,0.00
Jake Bargas,2564508,RB,FA,,,,,,,,,,,,,,,,,96,0.00
Nick Bawden,2560972,RB,FA,,,,,,,,,,,,,,,,,97,0.00
Le'Veon Bell,2540175,RB,BAL,,,,,,,,,,,,21.89,,,,,98,0.00
Levante Bellamy,2563878,RB,DEN,,,,,,,,,,,,18.39,,,,,99,0.00
Nick Bellore,2495262,RB,SEA,,,,,,,,,,,,,,,,,100,0.00
Khari Blasingame,2562869,RB,TEN,,,,,,,,,,,,22.25,,,,,101,0.00
Reggie Bonnafon,2561184,RB,FA,,,,,,,,,,,,,,,,,102,0.00
Mike Boone,2561099,RB,DEN,,,,,,,,,,,,18.39,,,,,103,0.00
Darius Bradwell,2565015,RB,FA,,,,,,,,,,,,,,,,,104,0.00
Matt Breida,2558918,RB,BUF,,,,,,,,,,,,22.33,,,,,105,0.00
Gary Brightwell,2566364,RB,NYG,,,,,,,,,,,,24.06,,,,,106,0.00
Tony Brooks-James,2563300,RB,FA,,,,,,,,,,,,,,,,,107,0.00
Malcolm Brown,2552382,RB,MIA,,,,,,,,,,,,25.19,,,,,108,0.00
Spencer Brown,2565558,RB,FA,,,,,,,,,,,,,,,,,109,0.00
Rex Burkhead,2539265,RB,HOU,,,,,,,,,,,,23.70,,,,,110,0.00
Jason Cabinda,2560986,RB,DET,,,,,,,,,,,,,,,,,111,0.00
Raymond Calais,2565207,RB,LA,,,,,,,,,,,,19.88,,,,,112,0.00
