PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Markus Golden,2552273,LB,ARI,2,1,,,,,,,,,,,,,,,,91,4.20
Khaleke Hudson,2565279,LB,WAS,2,1,,,,,,,,,,,,,,,,92,4.20
Joe Jones,2559200,LB,TEN,2,1,,,,,,,,,,,,,,,,93,4.20
E.J. Speed,2562955,LB,IND,2,1,,,,,,,,,,,,,,,,94,4.20
Kyle Van Noy,2543699,LB,NE,2,1,,,,,,,,,,,,,,,,95,4.20
Josh Woods,2561626,LB,DET,2,1,,,,,,,,,,,,,,,,96,4.20
K.J. Wright,2495252,LB,LV,2,1,,,,,,,,,,,,,,,,97,4.20
Bobby Wagner,2532966,LB,SEA,1,3,,,,,,,,,,,,,,,,98,4.10
Ja'Whaun Bentley,2561143,LB,NE,1,2,,,,,,,,,,,,,1,,,99,3.80
Jake Martin,2561092,LB,HOU,1,,,1,,,,,,,,,,,1,,,100,3.70
Jamin Davis,2566595,LB,WAS,2,,,,,,,,,,,,,,,,,101,3.40
Willie Gay Jr.,2564280,LB,KC,2,,,,,,,,,,,,,,,,,102,3.40
Joe Thomas,2550262,LB,FA,2,,,,,,,,,,,,,,,,,103,3.40
Zeke Turner,2561283,LB,ARI,2,,,,,,,,,,,,,,,,,104,3.40
Azeez Al-Shaair,2562462,LB,SF,1,2,,,,,,,,,,,,,,,,105,3.30
Malik Harrison,2563554,LB,BAL,1,2,,,,,,,,,,,,,,,,106,3.30
Danny Trevathan,2532961,LB,CHI,1,2,,,,,,,,,,,,,,,,107,3.30
Kenny Young,2560947,LB,DEN,,4,,,,,,,,,,,,,,,,108,3.20
Tanner Vallejo,2558289,LB,ARI,,2,0.5,,,,,,,,,,,,1,,,109,3.10
Oren Burks,2560984,LB,GB,1,1,,,,,,,,,,,,,1,,,110,3.00
Tarell Basham,2558165,LB,DAL,1,1,,,,,,,,,,,,,,,,111,2.50
Samson Ebukam,2558830,LB,SF,1,1,,,,,,,,,,,,,,,,112,2.50
Kyler Fackrell,2555340,LB,LAC,1,1,,,,,,,,,,,,,,,,113,2.50
Shaquille Quarterman,2564217,LB,JAX,1,1,,,,,,,,,,,,,,,,114,2.50
Robert Spillane,2561596,LB,PIT,1,1,,,,,,,,,,,,,,,,115,2.50
Oshane Ximines,2562613,LB,NYG,,2,,,,,,,,,,,,,1,,,116,2.10
Brandon Copeland,2541695,LB,ATL,1,,,,,,,,,,,,,,,,,117,1.70
Carter Coughlin,2564724,LB,NYG,1,,,,,,,,,,,,,,,,,118,1.70
Jabril Cox,2565998,LB,DAL,1,,,,,,,,,,,,,,,,,119,1.70
Alex Highsmith,2564982,LB,PIT,1,,,,,,,,,,,,,,,,,120,1.70
Travin Howard,2561154,LB,LA,1,,,,,,,,,,,,,,,,,121,1.70
Christian Kuntz,2559484,LB,PIT,1,,,,,,,,,,,,,,,,,122,1.70
Tyler Matakevich,2555171,LB,BUF,1,,,,,,,,,,,,,,,,,123,1.70
Jared Norris,2556862,LB,WAS,1,,,,,,,,,,,,,,,,,124,1.70
Obo Okoronkwo,2560829,LB,LA,1,,,,,,,,,,,,,,,,,125,1.70
Brennan Scarlett,2556673,LB,MIA,1,,,,,,,,,,,,,,,,,126,1.70
Malcolm Smith,2499278,LB,CLE,1,,,,,,,,,,,,,,,,,127,1.70
Joe Tryon-Shoyinka,2566574,LB,TB,1,,,,,,,,,,,,,,,,,128,1.70
Derrek Tuszka,2563917,LB,PIT,1,,,,,,,,,,,,,,,,,129,1.70
Chris Board,2561301,LB,BAL,,2,,,,,,,,,,,,,,,,130,1.60
Von Miller,2495202,LB,LA,,2,,,,,,,,,,,,,,,,131,1.60
Ben Niemann,2561383,LB,KC,,2,,,,,,,,,,,,,,,,132,1.60
Mack Wilson,2562605,LB,CLE,,2,,,,,,,,,,,,,,,,133,1.60
Sam Eguavoen,2562038,LB,MIA,,1,,,,,,,,,,,,,1,,,134,1.30
Andre Smith,2560875,LB,BUF,,,,,,,1,,,,,,,,,,,135,1.00
Ola Adeniyi,2560950,LB,TEN,,1,,,,,,,,,,,,,,,,136,0.80
Dakota Allen,2562618,LB,JAX,,1,,,,,,,,,,,,,,,,137,0.80
Baron Browning,2566025,LB,DEN,,1,,,,,,,,,,,,,,,,138,0.80
Rashaan Evans,2560718,LB,TEN,,1,,,,,,,,,,,,,,,,139,0.80
Zaire Franklin,2561155,LB,IND,,1,,,,,,,,,,,,,,,,140,0.80
Ulysees Gilbert,2562811,LB,PIT,,1,,,,,,,,,,,,,,,,141,0.80
Neville Hewitt,2553657,LB,HOU,,1,,,,,,,,,,,,,,,,142,0.80
Devon Kennard,2543869,LB,ARI,,1,,,,,,,,,,,,,,,,143,0.80
David Mayo,2553441,LB,WAS,,1,,,,,,,,,,,,,,,,144,0.80
Whitney Mercilus,2533049,LB,GB,,1,,,,,,,,,,,,,,,,145,0.80
Uchenna Nwosu,2560826,LB,LAC,,1,,,,,,,,,,,,,,,,146,0.80
Del'Shawn Phillips,2563179,LB,NYJ,,1,,,,,,,,,,,,,,,,147,0.80
Duke Riley,2557967,LB,MIA,,1,,,,,,,,,,,,,,,,148,0.80
Julian Stanford,2535867,LB,CAR,,1,,,,,,,,,,,,,,,,149,0.80
Kristian Welch,2565348,LB,BAL,,1,,,,,,,,,,,,,,,,150,0.80
Eric Wilson,2559012,LB,FA,,1,,,,,,,,,,,,,,,,151,0.80
Jonathan Garvin,2563992,LB,GB,,,,,,,,,,,,,,,1,,,152,0.50
Matthew Adams,2561149,LB,IND,,,,,,,,,,,,,,,,,,153,0.00
Tyrell Adams,2553898,LB,FA,,,,,,,,,,,,,,,,,,154,0.00
Otaro Alaka,2562217,LB,BAL,,,,,,,,,,,,,,,,,,155,0.00
Kwon Alexander,2552592,LB,NO,,,,,,,,,,,,,,,,,,156,0.00
Jeremiah Attaochu,2543717,LB,CHI,,,,,,,,,,,,,,,,,,157,0.00
Joe Bachie,2564661,LB,CIN,,,,,,,,,,,,,,,,,,158,0.00
Markus Bailey,2563719,LB,CIN,,,,,,,,,,,,,,,,,,159,0.00
Cody Barton,2562472,LB,SEA,,,,,,,,,,,,,,,,,,160,0.00
Daren Bates,2541539,LB,ATL,,,,,,,,,,,,,,,,,,161,0.00
Zack Baun,2564664,LB,NO,,,,,,,,,,,,,,,,,,162,0.00
Davin Bellamy,2560973,LB,FA,,,,,,,,,,,,,,,,,,163,0.00
B.J. Bello,2559141,LB,TEN,,,,,,,,,,,,,,,,,,164,0.00
Francis Bernard,2563827,LB,DAL,,,,,,,,,,,,,,,,,,165,0.00
Rashod Berry,2564589,LB,FA,,,,,,,,,,,,,,,,,,166,0.00
Jon Bostic,2539978,LB,WAS,,,,,,,,,,,,,,,,,,167,0.00
Jordan Brailford,2562441,LB,FA,,,,,,,,,,,,,,,,,,168,0.00
K.J. Britt,2566559,LB,TB,,,,,,,,,,,,,,,,,,169,0.00
Cameron Brown,2564715,LB,NYG,,,,,,,,,,,,,,,,,,170,0.00
Jayon Brown,2558005,LB,TEN,,,,,,,,,,,,,,,,,,171,0.00
T.J. Brunson,2564718,LB,NYG,,,,,,,,,,,,,,,,,,172,0.00
Deone Bucannon,2543769,LB,FA,,,,,,,,,,,,,,,,,,173,0.00
Ben Burr-Kirven,2562490,LB,SEA,,,,,,,,,,,,,,,,,,174,0.00
Josh Bynes,2530491,LB,BAL,,,,,,,,,,,,,,,,,,175,0.00
Shilique Calhoun,2555294,LB,FA,,,,,,,,,,,,,,,,,,176,0.00
Austin Calitro,2558925,LB,FA,,,,,,,,,,,,,,,,,,177,0.00
Blake Cashman,2562496,LB,NYJ,,,,,,,,,,,,,,,,,,178,0.00
Anthony Chickillo,2552266,LB,FA,,,,,,,,,,,,,,,,,,179,0.00
Cole Christiansen,2565021,LB,FA,,,,,,,,,,,,,,,,,,180,0.00
Bradley Chubb,2561020,LB,DEN,,,,,,,,,,,,,,,,,,181,0.00
Nick Coe,2564598,LB,FA,,,,,,,,,,,,,,,,,,182,0.00
Will Compton,2540013,LB,FA,,,,,,,,,,,,,,,,,,183,0.00
Ryan Connelly,2562638,LB,MIN,,,,,,,,,,,,,,,,,,184,0.00
Kamalei Correa,2555339,LB,FA,,,,,,,,,,,,,,,,,,185,0.00
Jarrad Davis,2557855,LB,NYJ,,,,,,,,,,,,,,,,,,186,0.00
Tae Davis,2561318,LB,HOU,,,,,,,,,,,,,,,,,,187,0.00
Thomas Davis,2506352,LB,FA,,,,,,,,,,,,,,,,,,188,0.00
Todd Davis,2550930,LB,FA,,,,,,,,,,,,,,,,,,189,0.00
Tyrel Dodson,2562560,LB,BUF,,,,,,,,,,,,,,,,,,190,0.00
Devante Downs,2561151,LB,FA,,,,,,,,,,,,,,,,,,191,0.00
Bud Dupree,2552289,LB,TEN,,,,,,,,,,,,,,,,,,192,0.00
Troy Dye,2564535,LB,MIN,,,,,,,,,,,,,,,,,,193,0.00
Nick Dzubnar,2553877,LB,TEN,,,,,,,,,,,,,,,,,,194,0.00
Emeke Egbule,2562578,LB,FA,,,,,,,,,,,,,,,,,,195,0.00
Milo Eifler,2565729,LB,FA,,,,,,,,,,,,,,,,,,196,0.00
Duke Ejiofor,2560714,LB,FA,,,,,,,,,,,,,,,,,,197,0.00
Jay Elliott,2550196,LB,FA,,,,,,,,,,,,,,,,,,198,0.00
Kaden Elliss,2562901,LB,NO,,,,,,,,,,,,,,,,,,199,0.00
Kyle Emanuel,2552296,LB,FA,,,,,,,,,,,,,,,,,,200,0.00
Jordan Evans,2558801,LB,CIN,,,,,,,,,,,,,,,,,,201,0.00
Jaylon Ferguson,2562650,LB,BAL,,,,,,,,,,,,,,,,,,202,0.00
Tony Fields II,2565971,LB,CLE,,,,,,,,,,,,,,,,,,203,0.00
Sharif Finch,2561328,LB,FA,,,,,,,,,,,,,,,,,,204,0.00
Paddy Fisher,2565567,LB,FA,,,,,,,,,,,,,,,,,,205,0.00
Kylie Fitts,2560724,LB,ARI,,,,,,,,,,,,,,,,,,206,0.00
Demetrius Flannigan-Fowles,2563090,LB,SF,,,,,,,,,,,,,,,,,,207,0.00
Dee Ford,2543494,LB,SF,,,,,,,,,,,,,,,,,,208,0.00
L.J. Fort,2535613,LB,BAL,,,,,,,,,,,,,,,,,,209,0.00
Dennis Gardeck,2561200,LB,ARI,,,,,,,,,,,,,,,,,,210,0.00
Cale Garrett,2565447,LB,FA,,,,,,,,,,,,,,,,,,211,0.00
Chris Garrett,2566211,LB,LA,,,,,,,,,,,,,,,,,,212,0.00
Luke Gifford,2562942,LB,DAL,,,,,,,,,,,,,,,,,,213,0.00
Joe Giles-Harris,2562591,LB,FA,,,,,,,,,,,,,,,,,,214,0.00
Cam Gill,2565216,LB,TB,,,,,,,,,,,,,,,,,,215,0.00
Jordan Glasgow,2564118,LB,IND,,,,,,,,,,,,,,,,,,216,0.00
B.J. Goodson,2555522,LB,FA,,,,,,,,,,,,,,,,,,217,0.00
Dre Greenlaw,2562428,LB,SF,,,,,,,,,,,,,,,,,,218,0.00
Shaquem Griffin,2560999,LB,FA,,,,,,,,,,,,,,,,,,219,0.00
Bryce Hager,2552307,LB,FA,,,,,,,,,,,,,,,,,,220,0.00
Nate Hall,2562657,LB,FA,,,,,,,,,,,,,,,,,,221,0.00
