PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Jordan Love,2564007,QB,GB,SEA,,,,,,,,,,,,0.82,65,0.00,-0.82
Jake Luton,2564205,QB,SEA,@GB,,,,,,,,,,,,0.00,66,0.00,0.0
Patrick Mahomes,2558125,QB,KC,@LV,,,,,,,,,,,,21.15,67,0.00,-21.15
Sean Mannion,2552576,QB,MIN,@LAC,,,,,,,,,,,,0.51,68,0.00,-0.51
Marcus Mariota,2552466,QB,LV,KC,,,,,,,,,,,,1.03,69,0.00,-1.03
Baker Mayfield,2560800,QB,CLE,@NE,,,,,,,,,,,,16.63,70,0.00,-16.63
AJ McCarron,2543497,QB,ATL,@DAL,,,,,,,,,,,,,71,0.00,
Josh McCown,2505076,QB,FA,Bye,,,,,,,,,,,,,72,0.00,
Colt McCoy,497123,QB,ARI,CAR,,,,,,,,,,,,0.73,73,0.00,-0.73
Cole McDonald,2564052,QB,FA,Bye,,,,,,,,,,,,,74,0.00,
Alex McGough,2561148,QB,FA,Bye,,,,,,,,,,,,,75,0.00,
Trace McSorley,2562403,QB,BAL,@MIA,,,,,,,,,,,,0.00,76,0.00,0.0
Davis Mills,2566136,QB,HOU,Bye,,,,,,,,,,,,,77,0.00,
Gardner Minshew,2562796,QB,PHI,@DEN,,,,,,,,,,,,1.35,78,0.00,-1.35
Kellen Mond,2566310,QB,MIN,@LAC,,,,,,,,,,,,0.00,79,0.00,0.0
Steven Montez,2565285,QB,DET,@PIT,,,,,,,,,,,,0.00,80,0.00,0.0
Matt Moore,2507282,QB,FA,Bye,,,,,,,,,,,,,81,0.00,
James Morgan,2564805,QB,CAR,@ARI,,,,,,,,,,,,0.00,82,0.00,0.0
Jalen Morton,2564013,QB,FA,Bye,,,,,,,,,,,,,83,0.00,
Kyler Murray,2562382,QB,ARI,CAR,,,,,,,,,,,,19.35,84,0.00,-19.35
Jamie Newman,2567058,QB,FA,Bye,,,,,,,,,,,,,85,0.00,
Cam Newton,2495455,QB,FA,Bye,,,,,,,,,,,,,86,0.00,
Bryce Perkins,2564382,QB,LA,@SF,,,,,,,,,,,,0.00,87,0.00,0.0
Nathan Peterman,2558191,QB,LV,KC,,,,,,,,,,,,0.00,88,0.00,0.0
Dak Prescott,2555260,QB,DAL,ATL,,,,,,,,,,,,21.53,89,0.00,-21.53
Philip Rivers,2506121,QB,FA,Bye,,,,,,,,,,,,,90,0.00,
Aaron Rodgers,2506363,QB,GB,SEA,,,,,,,,,,,,20.07,91,0.00,-20.07
Ben Roethlisberger,2506109,QB,PIT,DET,,,,,,,,,,,,18.68,92,0.00,-18.68
Josh Rosen,2560858,QB,ATL,@DAL,,,,,,,,,,,,0.00,93,0.00,0.0
Jake Rudock,2556232,QB,FA,Bye,,,,,,,,,,,,,94,0.00,
Mason Rudolph,2560860,QB,PIT,DET,,,,,,,,,,,,0.52,95,0.00,-0.52
Cooper Rush,2559242,QB,DAL,ATL,,,,,,,,,,,,0.86,96,0.00,-0.86
Matt Ryan,310,QB,ATL,@DAL,,,,,,,,,,,,18.31,97,0.00,-18.31
