PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Micah Simon,2565576,WR,FA,Bye,,,,,,,,,,,,,291,0.00,
Cam Sims,2561067,WR,WAS,TB,,,,,,,,,,,,2.03,292,0.00,-2.03
Steven Sims,2563033,WR,PIT,DET,,,,,,,,,,,,0.00,293,0.00,0.0
Ben Skowronek,2566247,WR,LA,@SF,,,,,,,,,,,,1.13,294,0.00,-1.13
Matthew Slater,4487,WR,NE,CLE,,,,,,,,,,,,0.74,295,0.00,-0.74
Darius Slayton,2562736,WR,NYG,Bye,,,,,,,,,,,,,296,0.00,
DeVonta Smith,2566409,WR,PHI,@DEN,,,,,,,,,,,,11.24,297,0.00,-11.24
Jeff Smith,2562845,WR,NYJ,BUF,,,,,,,,,,,,1.72,298,0.00,-1.72
Shi Smith,2565908,WR,CAR,@ARI,,,,,,,,,,,,0.00,299,0.00,0.0
Tre'Quan Smith,2560878,WR,NO,@TEN,,,,,,,,,,,,8.27,300,0.00,-8.27
Vyncint Smith,2561427,WR,NYJ,BUF,,,,,,,,,,,,0.00,301,0.00,0.0
Ihmir Smith-Marsette,2566319,WR,MIN,@LAC,,,,,,,,,,,,0.81,302,0.00,-0.81
JuJu Smith-Schuster,2558149,WR,PIT,DET,,,,,,,,,,,,,303,0.00,
Willie Snead,2550256,WR,CAR,@ARI,,,,,,,,,,,,1.47,304,0.00,-1.47
Diontae Spencer,2550734,WR,DEN,PHI,,,,,,,,,,,,0.55,305,0.00,-0.55
Amon-Ra St. Brown,2566073,WR,DET,@PIT,,,,,,,,,,,,6.10,306,0.00,-6.1
Equanimeous St. Brown,2560883,WR,GB,SEA,,,,,,,,,,,,0.98,307,0.00,-0.98
Marquez Stevenson,2565878,WR,BUF,@NYJ,,,,,,,,,,,,,308,0.00,
Kenny Stills,2540202,WR,NO,@TEN,,,,,,,,,,,,2.74,309,0.00,-2.74
Dillon Stoner,2565663,WR,LV,KC,,,,,,,,,,,,0.00,310,0.00,0.0
Eli Stove,2566520,WR,FA,Bye,,,,,,,,,,,,,311,0.00,
Mike Strachan,2565615,WR,IND,JAX,,,,,,,,,,,,0.61,312,0.00,-0.61
Courtland Sutton,2560888,WR,DEN,PHI,,,,,,,,,,,,10.93,313,0.00,-10.93
Freddie Swain,2565195,WR,SEA,@GB,,,,,,,,,,,,4.06,314,0.00,-4.06
Ryan Switzer,2557960,WR,CLE,@NE,,,,,,,,,,,,,315,0.00,
Donte Sylencieux,2566626,WR,FA,Bye,,,,,,,,,,,,,316,0.00,
Auden Tate,2560890,WR,CIN,Bye,,,,,,,,,,,,,317,0.00,
Golden Tate,497326,WR,FA,Bye,,,,,,,,,,,,,318,0.00,
Khalil Tate,2564859,WR,FA,Bye,,,,,,,,,,,,,319,0.00,
Malik Taylor,2562995,WR,GB,SEA,,,,,,,,,,,,0.00,320,0.00,0.0
Trent Taylor,2558202,WR,CIN,Bye,,,,,,,,,,,,,321,0.00,
Tamorrion Terry,2567130,WR,FA,Bye,,,,,,,,,,,,,322,0.00,
Adam Thielen,2541785,WR,MIN,@LAC,,,,,,,,,,,,11.95,323,0.00,-11.95
De'Anthony Thomas,2543638,WR,FA,Bye,,,,,,,,,,,,,324,0.00,
Michael Thomas,2556370,WR,NO,@TEN,,,,,,,,,,,,,325,0.00,
Mike Thomas,2556381,WR,CIN,Bye,,,,,,,,,,,,,326,0.00,
Cody Thompson,2562759,WR,SEA,@GB,,,,,,,,,,,,0.00,327,0.00,0.0
Kadarius Toney,2566376,WR,NYG,Bye,,,,,,,,,,,,,328,0.00,
Laquon Treadwell,2555214,WR,JAX,@IND,,,,,,,,,,,,0.00,329,0.00,0.0
DJ Turner,2565666,WR,LV,KC,,,,,,,,,,,,0.00,330,0.00,0.0
Malik Turner,2561671,WR,DAL,ATL,,,,,,,,,,,,2.83,331,0.00,-2.83
John Ursua,2562960,WR,SEA,@GB,,,,,,,,,,,,,332,0.00,
Marquez Valdes-Scantling,2560907,WR,GB,SEA,,,,,,,,,,,,5.34,333,0.00,-5.34
Tyler Vaughns,2565618,WR,PIT,DET,,,,,,,,,,,,0.00,334,0.00,0.0
Ben Victor,2564781,WR,BAL,@MIA,,,,,,,,,,,,0.00,335,0.00,0.0
Jaylen Waddle,2566292,WR,MIA,BAL,,,,,,,,,,,,10.90,336,0.00,-10.9
Tre Walker,2566650,WR,FA,Bye,,,,,,,,,,,,,337,0.00,
Tylan Wallace,2565857,WR,BAL,@MIA,,,,,,,,,,,,0.00,338,0.00,0.0
Greg Ward,2559278,WR,PHI,@DEN,,,,,,,,,,,,0.74,339,0.00,-0.74
JoJo Ward,2564946,WR,FA,Bye,,,,,,,,,,,,,340,0.00,
James Washington,2560920,WR,PIT,DET,,,,,,,,,,,,4.08,341,0.00,-4.08
Scotty Washington,2563743,WR,FA,Bye,,,,,,,,,,,,,342,0.00,
Quez Watkins,2564880,WR,PHI,@DEN,,,,,,,,,,,,6.94,343,0.00,-6.94
Sammy Watkins,2543457,WR,BAL,@MIA,,,,,,,,,,,,6.91,344,0.00,-6.91
Justin Watson,2560051,WR,TB,@WAS,,,,,,,,,,,,,345,0.00,
Jester Weah,2560922,WR,FA,Bye,,,,,,,,,,,,,346,0.00,
Nsimba Webster,2563316,WR,CHI,Bye,,,,,,,,,,,,,347,0.00,
Antoine Wesley,2562779,WR,ARI,CAR,,,,,,,,,,,,2.05,348,0.00,-2.05
Dede Westbrook,2557895,WR,MIN,@LAC,,,,,,,,,,,,1.94,349,0.00,-1.94
Nick Westbrook-Ikhine,2565477,WR,TEN,NO,,,,,,,,,,,,1.67,350,0.00,-1.67
Cody White,2564313,WR,PIT,DET,,,,,,,,,,,,0.00,351,0.00,0.0
Kevin White,2553432,WR,NO,@TEN,,,,,,,,,,,,0.00,352,0.00,0.0
Isaac Whitney,2559008,WR,FA,Bye,,,,,,,,,,,,,353,0.00,
Kristian Wilkerson,2565480,WR,NE,CLE,,,,,,,,,,,,0.00,354,0.00,0.0
Chad Williams,2558208,WR,FA,Bye,,,,,,,,,,,,,355,0.00,
Duke Williams,2556836,WR,FA,Bye,,,,,,,,,,,,,356,0.00,
Mike Williams,2558846,WR,LAC,MIN,,,,,,,,,,,,10.83,357,0.00,-10.83
Preston Williams,2562805,WR,MIA,BAL,,,,,,,,,,,,3.85,358,0.00,-3.85
Seth Williams,2566052,WR,DEN,PHI,,,,,,,,,,,,0.00,359,0.00,0.0
Tyrell Williams,2553913,WR,FA,Bye,,,,,,,,,,,,,360,0.00,
Derrick Willies,2561470,WR,FA,Bye,,,,,,,,,,,,,361,0.00,
Albert Wilson,2550272,WR,MIA,BAL,,,,,,,,,,,,1.18,362,0.00,-1.18
Ced Wilson,2560936,WR,DAL,ATL,,,,,,,,,,,,3.13,363,0.00,-3.13
Javon Wims,2560939,WR,LV,KC,,,,,,,,,,,,0.00,364,0.00,0.0
Juwann Winfree,2562956,WR,GB,SEA,,,,,,,,,,,,0.00,365,0.00,0.0
Robert Woods,2540169,WR,LA,@SF,,,,,,,,,,,,12.05,366,0.00,-12.05
Isaiah Wright,2565316,WR,FA,Bye,,,,,,,,,,,,,367,0.00,
Olamide Zaccheaus,2562808,WR,ATL,@DAL,,,,,,,,,,,,4.17,368,0.00,-4.17
Isaiah Zuber,2564658,WR,FA,Bye,,,,,,,,,,,,,369,0.00,
Brandon Zylstra,2560243,WR,CAR,@ARI,,,,,,,,,,,,,370,0.00,
