PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Devin Funchess,2552458,WR,FA,Bye,,,,,,,,,,,,,110,0.00,
Rico Gafford,2561331,WR,DEN,PHI,,,,,,,,,,,,0.00,111,0.00,0.0
Russell Gage,2561061,WR,ATL,@DAL,,,,,,,,,,,,8.54,112,0.00,-8.54
Michael Gallup,2560735,WR,DAL,ATL,,,,,,,,,,,,,113,0.00,
Antonio Gandy-Golden,2565273,WR,WAS,TB,,,,,,,,,,,,0.00,114,0.00,0.0
Tanner Gentry,2559176,WR,BUF,@NYJ,,,,,,,,,,,,,115,0.00,
Chris Godwin,2558105,WR,TB,@WAS,,,,,,,,,,,,14.64,116,0.00,-14.64
Terry Godwin,2562594,WR,JAX,@IND,,,,,,,,,,,,,117,0.00,
Kenny Golladay,2558052,WR,NYG,Bye,,,,,,,,,,,,,118,0.00,
Marquise Goodwin,2539964,WR,CHI,Bye,,,,,,,,,,,,,119,0.00,
Josh Gordon,2537931,WR,KC,@LV,,,,,,,,,,,,1.74,120,0.00,-1.74
Jakeem Grant,2556190,WR,CHI,Bye,,,,,,,,,,,,,121,0.00,
Cyril Grayson,2558808,WR,TB,@WAS,,,,,,,,,,,,0.00,122,0.00,0.0
A.J. Green,2495450,WR,ARI,CAR,,,,,,,,,,,,0.00,123,0.00,0.0
Juwan Green,2563494,WR,FA,Bye,,,,,,,,,,,,,124,0.00,
Stephen Guidry,2565298,WR,FA,Bye,,,,,,,,,,,,,125,0.00,
Jalen Guyton,2562844,WR,LAC,MIN,,,,,,,,,,,,4.09,126,0.00,-4.09
Marvin Hall,2557034,WR,ATL,@DAL,,,,,,,,,,,,0.00,127,0.00,0.0
DaeSean Hamilton,2561002,WR,DEN,PHI,,,,,,,,,,,,0.00,128,0.00,0.0
K.J. Hamler,2563890,WR,DEN,PHI,,,,,,,,,,,,,129,0.00,
Josh Hammond,2564193,WR,JAX,@IND,,,,,,,,,,,,0.00,130,0.00,0.0
Chad Hansen,2558069,WR,FA,Bye,,,,,,,,,,,,,131,0.00,
Mecole Hardman,2562580,WR,KC,@LV,,,,,,,,,,,,8.34,132,0.00,-8.34
Kelvin Harmon,2562577,WR,WAS,TB,,,,,,,,,,,,0.00,133,0.00,0.0
De'Michael Harris,2564124,WR,IND,JAX,,,,,,,,,,,,0.00,134,0.00,0.0
Deonte Harris,2563155,WR,NO,@TEN,,,,,,,,,,,,11.04,135,0.00,-11.04
N'Keal Harry,2562659,WR,NE,CLE,,,,,,,,,,,,1.97,136,0.00,-1.97
Penny Hart,2562804,WR,SEA,@GB,,,,,,,,,,,,0.97,137,0.00,-0.97
Jeremiah Haydel,2566223,WR,FA,Bye,,,,,,,,,,,,,138,0.00,
Rashard Higgins,2555468,WR,CLE,@NE,,,,,,,,,,,,3.35,139,0.00,-3.35
Tee Higgins,2563731,WR,CIN,Bye,,,,,,,,,,,,,140,0.00,
John Hightower,2564829,WR,PHI,@DEN,,,,,,,,,,,,0.00,141,0.00,0.0
K.J. Hill,2565048,WR,LAC,MIN,,,,,,,,,,,,0.00,142,0.00,0.0
Tyreek Hill,2556214,WR,KC,@LV,,,,,,,,,,,,13.72,143,0.00,-13.72
T.Y. Hilton,2532865,WR,IND,JAX,,,,,,,,,,,,9.17,144,0.00,-9.17
Kendall Hinton,2563893,WR,DEN,PHI,,,,,,,,,,,,1.71,145,0.00,-1.71
KhaDarel Hodge,2561653,WR,DET,@PIT,,,,,,,,,,,,1.82,146,0.00,-1.82
Isaiah Hodgins,2563611,WR,BUF,@NYJ,,,,,,,,,,,,0.00,147,0.00,0.0
Chris Hogan,2530515,WR,FA,Bye,,,,,,,,,,,,,148,0.00,
Krishawn Hogan,2559286,WR,FA,Bye,,,,,,,,,,,,,149,0.00,
Alexander Hollins,2562989,WR,FA,Bye,,,,,,,,,,,,,150,0.00,
Mack Hollins,2558262,WR,MIA,BAL,,,,,,,,,,,,4.47,151,0.00,-4.47
Cody Hollister,2558955,WR,FA,Bye,,,,,,,,,,,,,152,0.00,
DeAndre Hopkins,2540165,WR,ARI,CAR,,,,,,,,,,,,12.72,153,0.00,-12.72
