PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Craig Reynolds,2562834,RB,DET,@PIT,,,,,,,,,,,,0.00,183,0.00,0.0
Patrick Ricard,2558990,RB,BAL,@MIA,,,,,,,,,,,,1.52,184,0.00,-1.52
Jalen Richard,2556885,RB,LV,KC,,,,,,,,,,,,3.08,185,0.00,-3.08
Theo Riddick,2540020,RB,FA,Bye,,,,,,,,,,,,,186,0.00,
James Robinson,2564223,RB,JAX,@IND,,,,,,,,,,,,11.11,187,0.00,-11.11
Larry Rountree III,2566505,RB,LAC,MIN,,,,,,,,,,,,0.00,188,0.00,0.0
Jaylen Samuels,2560862,RB,HOU,Bye,,,,,,,,,,,,,189,0.00,
Miles Sanders,2562722,RB,PHI,@DEN,,,,,,,,,,,,,190,0.00,
Mekhi Sargent,2566962,RB,LA,@SF,,,,,,,,,,,,0.00,191,0.00,0.0
Jordan Scarlett,2562725,RB,FA,Bye,,,,,,,,,,,,,192,0.00,
Boston Scott,2561146,RB,PHI,@DEN,,,,,,,,,,,,2.48,193,0.00,-2.48
Stevie Scott III,2565705,RB,FA,Bye,,,,,,,,,,,,,194,0.00,
Trey Sermon,2566544,RB,SF,LA,,,,,,,,,,,,2.16,195,0.00,-2.16
Anthony Sherman,2495340,RB,FA,Bye,,,,,,,,,,,,,196,0.00,
Devin Singletary,2562734,RB,BUF,@NYJ,,,,,,,,,,,,7.17,197,0.00,-7.17
Ito Smith,2559924,RB,FA,Bye,,,,,,,,,,,,,198,0.00,
Keith Smith,2550400,RB,ATL,@DAL,,,,,,,,,,,,0.62,199,0.00,-0.62
Rodney Smith,2563680,RB,FA,Bye,,,,,,,,,,,,,200,0.00,
Benny Snell,2562743,RB,PIT,DET,,,,,,,,,,,,1.30,201,0.00,-1.3
Johnny Stanton,2561489,RB,CLE,@NE,,,,,,,,,,,,0.00,202,0.00,0.0
Rhamondre Stevenson,2566343,RB,NE,CLE,,,,,,,,,,,,6.74,203,0.00,-6.74
Mason Stokke,2565579,RB,FA,Bye,,,,,,,,,,,,,204,0.00,
D'Andre Swift,2563965,RB,DET,@PIT,,,,,,,,,,,,14.10,205,0.00,-14.1
J.J. Taylor,2564640,RB,NE,CLE,,,,,,,,,,,,0.00,206,0.00,0.0
Jonathan Taylor,2564148,RB,IND,JAX,,,,,,,,,,,,16.86,207,0.00,-16.86
Patrick Taylor,2564040,RB,GB,SEA,,,,,,,,,,,,1.75,208,0.00,-1.75
Chris Thompson,2540011,RB,FA,Bye,,,,,,,,,,,,,209,0.00,
Darwin Thompson,2562832,RB,TB,@WAS,,,,,,,,,,,,0.00,210,0.00,0.0
Ke'Shawn Vaughn,2565258,RB,TB,@WAS,,,,,,,,,,,,0.00,211,0.00,0.0
Danny Vitale,2555218,RB,FA,Bye,,,,,,,,,,,,,212,0.00,
Christian Wade,2562896,RB,BUF,@NYJ,,,,,,,,,,,,,213,0.00,
Austin Walter,2563138,RB,NYJ,BUF,,,,,,,,,,,,0.00,214,0.00,0.0
Jonathan Ward,2564949,RB,ARI,CAR,,,,,,,,,,,,1.32,215,0.00,-1.32
DeAndre Washington,2555464,RB,FA,Bye,,,,,,,,,,,,,216,0.00,
Dwayne Washington,2556118,RB,NO,@TEN,,,,,,,,,,,,0.00,217,0.00,0.0
Derek Watt,2555220,RB,PIT,DET,,,,,,,,,,,,0.65,218,0.00,-0.65
Mike Weber,2562775,RB,FA,Bye,,,,,,,,,,,,,219,0.00,
James White,2543773,RB,NE,CLE,,,,,,,,,,,,,220,0.00,
Jordan Wilkins,2560933,RB,JAX,@IND,,,,,,,,,,,,0.00,221,0.00,0.0
Antonio Williams,2565393,RB,BUF,@NYJ,,,,,,,,,,,,0.00,222,0.00,0.0
Damien Williams,2550512,RB,CHI,Bye,,,,,,,,,,,,,223,0.00,
Darrel Williams,2560935,RB,KC,@LV,,,,,,,,,,,,4.95,224,0.00,-4.95
Dexter Williams,2562784,RB,FA,Bye,,,,,,,,,,,,,225,0.00,
Jamaal Williams,2558204,RB,DET,@PIT,,,,,,,,,,,,6.64,226,0.00,-6.64
Javonte Williams,2566049,RB,DEN,PHI,,,,,,,,,,,,10.30,227,0.00,-10.3
Jonathan Williams,2555227,RB,FA,Bye,,,,,,,,,,,,,228,0.00,
Pooka Williams Jr.,2566788,RB,CIN,Bye,,,,,,,,,,,,,229,0.00,
Trayveon Williams,2562600,RB,CIN,Bye,,,,,,,,,,,,,230,0.00,
Ty'Son Williams,2565542,RB,BAL,@MIA,,,,,,,,,,,,2.64,231,0.00,-2.64
Jeff Wilson,2560938,RB,SF,LA,,,,,,,,,,,,6.05,232,0.00,-6.05
T.J. Yeldon,2552471,RB,FA,Bye,,,,,,,,,,,,,233,0.00,
