PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Kamu Grugier-Hill,2556363,LB,HOU,NE,5,,,1,,,,,,,,,,,,,,8.75,42,10.00,8.75,1.25
Damien Wilson,2552686,LB,JAX,TEN,4,2,,1,,,,,,,,,,,,,,10.11,43,9.90,10.11,-0.21
Jeremiah Owusu-Koramoah,2565983,LB,CLE,@LAC,3,1,,,,1,,,,,,,,,,,,,44,9.40,,
Troy Reeder,2563313,LB,LA,@SEA,1,2,,,1,,,,,,,,,1,,,,3.22,45,9.30,3.22,6.08
Joe Schobert,2555166,LB,PIT,DEN,3,2,,,,,,,,,,,,1,,,,12.86,46,9.20,12.86,-3.66
Logan Wilson,2563752,LB,CIN,GB,4,3,,,,,,,,,,,,,,,,12.15,47,9.20,12.15,-2.95
Germaine Pratt,2562702,LB,CIN,GB,4,1,,1,,,,,,,,,,,,,,8.57,48,9.10,8.57,0.53
Leighton Vander Esch,2560908,LB,DAL,NYG,4,1,,1,,,,,,,,,,,,,,7.35,49,9.10,7.35,1.75
Jaelan Phillips,2566289,LB,MIA,@TB,2,2,1,1,,,,,,,,,,,1,,,2.58,50,9.00,2.58,6.42
T.J. Edwards,2562648,LB,PHI,@CAR,2,3,,,,,,,,,,,1,,,,,2.75,51,8.80,2.75,6.05
Lorenzo Carter,2561015,LB,NYG,@DAL,1,1,,,1,,,,,,,,,1,,1,,5.58,52,8.53,5.58,2.95
Kyzir White,2560928,LB,LAC,CLE,5,,,,,,,,,,,,,,,,,9.54,53,8.50,9.54,-1.04
Derrick Barnes,2566055,LB,DET,@MIN,4,2,,,,,,,,,,,,,,,,6.74,54,8.40,6.74,1.66
Jordan Hicks,2552315,LB,ARI,SF,4,2,,,,,,,,,,,,,,,,12.47,55,8.40,12.47,-4.07
Anthony Hitchens,2543592,LB,KC,BUF,4,2,,,,,,,,,,,,,,,,7.92,56,8.40,7.92,0.48
Leonard Floyd,2555285,LB,LA,@SEA,3,2,,1,,,,,,,,,,,,,,6.80,57,8.20,6.8,1.4
Pernell McPhee,2495201,LB,BAL,IND,3,2,,1,,,,,,,,,,,,,,3.22,58,8.20,3.22,4.98
Elandon Roberts,2556119,LB,MIA,@TB,2,1,,1,,,,,,,,,,1,,,,8.45,59,8.20,8.45,-0.25
Isaiah Simmons,2564940,LB,ARI,SF,2,1,0.5,,,,,,,,,,,1,1,,,10.84,60,8.20,10.84,-2.64
Shaq Lawson,2555252,LB,NYJ,@ATL,3,,,1,,,1,,,,,,,,1,,,3.36,61,8.10,3.36,4.74
Preston Smith,2552276,LB,GB,@CIN,1,3,1,1,,,,,,,,,,,1,,,5.25,62,8.10,5.25,2.85
Dont'a Hightower,2533057,LB,NE,@HOU,4,1,,,,,,,,,,,,,,,,7.28,63,7.60,7.28,0.32
T.J. Watt,2558064,LB,PIT,DEN,3,,,1,,,,,,,,,,,2,,,7.19,64,7.60,7.19,0.41
Tyus Bowser,2558166,LB,BAL,IND,3,3,,,,,,,,,,,,,,,,5.72,65,7.50,5.72,1.78
Cory Littleton,2556593,LB,LV,CHI,3,3,,,,,,,,,,,,,,,,11.65,66,7.50,11.65,-4.15
Justin Strnad,2563914,LB,DEN,@PIT,3,3,,,,,,,,,,,,,,,,8.45,67,7.50,8.45,-0.95
Nick Vigil,2555528,LB,MIN,DET,3,3,,,,,,,,,,,,,,,,12.79,68,7.50,12.79,-5.29
