PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Ty Chandler,2567907,RB,MIN,@BUF,,,,,,,,,,,,,0.00,37,0.00,0.0
Julius Chestnut,2568804,RB,TEN,DEN,,,,,,,,,,,,,0.00,38,0.00,0.0
Nick Chubb,2561021,RB,CLE,@MIA,,,,,,,,,,,,,12.34,39,0.00,-12.34
Tevin Coleman,2552453,RB,SF,LAC,,,,,,,,,,,,,0.00,40,0.00,0.0
Alex Collins,2555430,RB,FA,Bye,,,,,,,,,,,,,,41,0.00,
James Conner,2557978,RB,ARI,@LA,,,,,,,,,,,,,11.93,42,0.00,-11.93
Snoop Conner,2567730,RB,JAX,@KC,,,,,,,,,,,,,0.00,43,0.00,0.0
Dalvin Cook,2557991,RB,MIN,@BUF,,,,,,,,,,,,,12.74,44,0.00,-12.74
James Cook,2567328,RB,BUF,MIN,,,,,,,,,,,,,4.00,45,0.00,-4.0
Jashaun Corbin,2569125,RB,NYG,HOU,,,,,,,,,,,,,0.00,46,0.00,0.0
Nathan Cottrell,2564175,RB,FA,Bye,,,,,,,,,,,,,,47,0.00,
Damarea Crockett,2563223,RB,DEN,@TEN,,,,,,,,,,,,,,48,0.00,
DeeJay Dallas,2565144,RB,SEA,@TB,,,,,,,,,,,,,1.85,49,0.00,-1.85
Mike Davis,2553439,RB,BAL,Bye,,,,,,,,,,,,,,50,0.00,
Tyrion Davis-Price,2568207,RB,SF,LAC,,,,,,,,,,,,,,51,0.00,
AJ Dillon,2563986,RB,GB,DAL,,,,,,,,,,,,,11.29,52,0.00,-11.29
Gerrid Doaks,2566277,RB,HOU,@NYG,,,,,,,,,,,,,0.00,53,0.00,0.0
J.K. Dobbins,2563548,RB,BAL,Bye,,,,,,,,,,,,,,54,0.00,
Rico Dowdle,2565295,RB,DAL,@GB,,,,,,,,,,,,,0.78,55,0.00,-0.78
Kenyan Drake,2555230,RB,BAL,Bye,,,,,,,,,,,,,,56,0.00,
Mataeo Durant,2568487,RB,FA,Bye,,,,,,,,,,,,,,57,0.00,
Jerrion Ealy,2568414,RB,KC,JAX,,,,,,,,,,,,,,58,0.00,
Trestan Ebner,2567385,RB,CHI,DET,,,,,,,,,,,,,2.91,59,0.00,-2.91
Chase Edmonds,2560711,RB,MIA,CLE,,,,,,,,,,,,,3.97,60,0.00,-3.97
Trey Edmunds,2559325,RB,FA,Bye,,,,,,,,,,,,,,61,0.00,
Gus Edwards,2561324,RB,BAL,Bye,,,,,,,,,,,,,,62,0.00,
Clyde Edwards-Helaire,2564271,RB,KC,JAX,,,,,,,,,,,,,12.54,63,0.00,-12.54
Austin Ekeler,2559169,RB,LAC,@SF,,,,,,,,,,,,,14.96,64,0.00,-14.96
Ezekiel Elliott,2555224,RB,DAL,@GB,,,,,,,,,,,,,11.52,65,0.00,-11.52
Travis Etienne,2566157,RB,JAX,@KC,,,,,,,,,,,,,6.89,66,0.00,-6.89
Chris Evans,2565944,RB,CIN,Bye,,,,,,,,,,,,,,67,0.00,
Darrynton Evans,2564043,RB,CHI,DET,,,,,,,,,,,,,0.00,68,0.00,0.0
Demetric Felton,2565968,RB,CLE,@MIA,,,,,,,,,,,,,1.99,69,0.00,-1.99
Jerome Ford,2567469,RB,CLE,@MIA,,,,,,,,,,,,,,70,0.00,
D'Onta Foreman,2557994,RB,CAR,ATL,,,,,,,,,,,,,3.32,71,0.00,-3.32
Leonard Fournette,2557973,RB,TB,SEA,,,,,,,,,,,,,16.31,72,0.00,-16.31
Devonta Freeman,2543583,RB,FA,Bye,,,,,,,,,,,,,,73,0.00,
Royce Freeman,2560733,RB,HOU,@NYG,,,,,,,,,,,,,0.00,74,0.00,0.0
Jake Funk,2566208,RB,LA,ARI,,,,,,,,,,,,,1.06,75,0.00,-1.06
Kenneth Gainwell,2566397,RB,PHI,WAS,,,,,,,,,,,,,4.85,76,0.00,-4.85
Wayne Gallman,2557952,RB,FA,Bye,,,,,,,,,,,,,,77,0.00,
Myles Gaskin,2562270,RB,MIA,CLE,,,,,,,,,,,,,3.53,78,0.00,-3.53
Antonio Gibson,2565276,RB,WAS,@PHI,,,,,,,,,,,,,11.31,79,0.00,-11.31
Tyler Goodson,2567595,RB,GB,DAL,,,,,,,,,,,,,0.00,80,0.00,0.0
Melvin Gordon,2552469,RB,DEN,@TEN,,,,,,,,,,,,,11.16,81,0.00,-11.16
Derrick Gore,2563347,RB,FA,Bye,,,,,,,,,,,,,,82,0.00,
Todd Gurley,2552475,RB,FA,Bye,,,,,,,,,,,,,,83,0.00,
