PlayerName,PlayerId,Pos,Team,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Dominique Dafney,2565540,TE,GB,,,,,,,,,,,,4.20,,,,,,,,,,84,0.00
Darrell Daniels,2558886,TE,ARI,,,,,,,,,,,,2.50,,,,,,,,,,85,0.00
Zach Davidson,2566301,TE,FA,,,,,,,,,,,,,,,,,,,,,,86,0.00
Tyler Davis,2564178,TE,GB,,,,,,,,,,,,4.20,,,,,,,,,,87,0.00
Josiah Deguara,2563980,TE,GB,,,,,,,,,,,,4.20,,,,,,,,,,88,0.00
Seth DeValve,2556365,TE,FA,,,,,,,,,,,,,,,,,,,,,,89,0.00
Brandon Dillon,2562984,TE,FA,,,,,,,,,,,,,,,,,,,,,,90,0.00
Ross Dwelley,2561060,TE,SF,,,,,,,,,,,,9.80,,,,,,,,,,91,0.00
Tyler Eifert,2540148,TE,FA,,,,,,,,,,,,,,,,,,,,,,92,0.00
Ben Ellefson,2564181,TE,MIN,,,,,,,,,,,,6.10,,,,,,,,,,93,0.00
Evan Engram,2557858,TE,NYG,,,,,,,,,,,,3.50,,,,,,,,,,94,0.00
Luke Farrell,2566160,TE,JAX,,,,,,,,,,,,16.50,,,,,,,,,,95,0.00
Austin Fort,2563037,TE,FA,,,,,,,,,,,,,,,,,,,,,,96,0.00
Jody Fortson,2563259,TE,KC,,,,,,,,,,,,23.60,,,,,,,,,,97,0.00
Jordan Franks,2561330,TE,FA,,,,,,,,,,,,,,,,,,,,,,98,0.00
Troy Fumagalli,2560734,TE,NE,,,,,,,,,,,,10.90,,,,,,,,,,99,0.00
Reggie Gilliam,2565378,TE,BUF,,,,,,,,,,,,6.10,,,,,,,,,,100,0.00
Jaeden Graham,2561622,TE,ATL,,,,,,,,,,,,9.90,,,,,,,,,,101,0.00
Kylen Granson,2566145,TE,IND,,,,,,,,,,,,3.60,,,,,,,,,,102,0.00
Noah Gray,2566178,TE,KC,,,,,,,,,,,,23.60,,,,,,,,,,103,0.00
Farrod Green,2564121,TE,FA,,,,,,,,,,,,,,,,,,,,,,104,0.00
Garrett Griffin,2557033,TE,NO,,,,,,,,,,,,18.90,,,,,,,,,,105,0.00
Nakie Griffin-Stewart,2564544,TE,FA,,,,,,,,,,,,,,,,,,,,,,106,0.00
Nick Guggemos,2565804,TE,FA,,,,,,,,,,,,,,,,,,,,,,107,0.00
Jacob Harris,2566220,TE,LA,,,,,,,,,,,,9.30,,,,,,,,,,108,0.00
Daniel Helm,2562284,TE,LV,,,,,,,,,,,,21.50,,,,,,,,,,109,0.00
