PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Bradley Chubb,2561020,LB,MIA,LAC,2.22,0.86,0.46,0.37,,0.12,0.12,,,,,,,0.06,0.98,,,6.50,57,66,0.00,-6.5
Jimmy Ciarlo,2572684,LB,BUF,@ATL,,,,,,,,,,,,,,,,,,0.00,153,67,0.00,0.0
Damone Clark,2567493,LB,DAL,@CAR,,,,,,,,,,,,,,,,,,0.00,154,68,0.00,0.0
K.J. Cloyd,2573283,LB,FA,Bye,,,,,,,,,,,,,,,,,,,155,69,0.00,
Jack Cochrane,2568408,LB,KC,DET,,,,,,,,,,,,,,,,,,0.00,156,70,0.00,0.0
Seth Coleman,2574557,LB,FA,Bye,,,,,,,,,,,,,,,,,,,157,71,0.00,
Zaven Collins,2566421,LB,ARI,@IND,2.57,1.07,0.21,0.43,,0.07,,,,,,,,0.29,0.43,,,6.75,54,72,0.00,-6.75
Junior Colson,2572465,LB,LAC,@MIA,,,,,,,,,,,,,,,,,,0.00,158,73,0.00,0.0
Branson Combs,2574211,LB,JAX,SEA,,,,,,,,,,,,,,,,,,0.00,159,74,0.00,0.0
Edgerrin Cooper,2572030,LB,GB,CIN,4.08,2.16,0.27,0.9,0.06,0.12,0.12,0.06,,,,,,0.36,0.6,2.16,,11.57,6,75,0.00,-11.57
Jonathon Cooper,2566028,LB,DEN,@NYJ,2.24,1.53,0.47,0.53,,0.06,,,,,,,,0.06,1.12,,,6.93,51,76,0.00,-6.93
Zach Cunningham,2558094,LB,DET,@KC,,,,,,,,,,,,,,,,,,0.00,160,77,0.00,0.0
Lavonte David,2532828,LB,TB,SF,3.83,2.36,0.23,0.34,,0.06,0.06,,,,,,,0.28,0.28,,,9.24,30,78,0.00,-9.24
Demario Davis,2533008,LB,NO,NE,,,,,,,,,,,,,,,,,,0.00,161,79,0.00,0.0
Jamin Davis,2566595,LB,FA,Bye,,,,,,,,,,,,,,,,,,,162,80,0.00,
Akeem Davis-Gaither,2563728,LB,ARI,@IND,3.18,2.1,,0.36,0.06,0.06,0.06,,,,,,,0.18,0.06,,,7.53,42,81,0.00,-7.53
Divine Deablo,2566253,LB,ATL,BUF,2.97,1.83,0.06,0.23,,,0.06,,,,,,,0.11,0.23,,,6.47,58,82,0.00,-6.47
Nakobe Dean,2568072,LB,PHI,@NYG,4.37,2.58,0.15,0.49,0.06,0.06,0.12,,,,,,,0.25,0.31,,,10.46,15,83,0.00,-10.46
SirVocea Dennis,2570347,LB,TB,SF,,,,,,,,,,,,,,,,,,0.00,163,84,0.00,0.0
Solomon DeShields,2574185,LB,FA,Bye,,,,,,,,,,,,,,,,,,,164,85,0.00,
Mohamoud Diabate,2570849,LB,CLE,@PIT,2.28,1.56,,0.3,,,,,,,,,,0.12,,,,5.11,73,86,0.00,-5.11
Yaya Diaby,2570344,LB,TB,SF,2.41,0.94,0.47,0.76,,0.06,0.06,,,,,,,,1.06,,,7.06,49,87,0.00,-7.06
Victor Dimukeje,2566424,LB,NYG,PHI,,,,,,,,,,,,,,,,,,0.00,165,88,0.00,0.0
De'Shaan Dixon,2567736,LB,FA,Bye,,,,,,,,,,,,,,,,,,,166,89,0.00,
Lance Dixon,2574457,LB,FA,Bye,,,,,,,,,,,,,,,,,,,167,90,0.00,
Tyrel Dodson,2562560,LB,MIA,LAC,3.06,2.12,0.06,0.18,0.12,0.06,,,,,,,,0.47,0.18,0.29,,8.16,36,91,0.00,-8.16
Shaun Dolac,2574264,LB,LAR,@BAL,,,,,,,,,,,,,,,,,,0.00,168,92,0.00,0.0
Bud Dupree,2552289,LB,LAC,@MIA,,,,,,,,,,,,,,,,,,0.00,169,93,0.00,0.0
Troy Dye,2564535,LB,LAC,@MIA,,,,,,,,,,,,,,,,,,0.00,170,94,0.00,0.0
Arnold Ebiketie,2567238,LB,ATL,BUF,1.24,0.68,0.34,0.28,,0.06,0.06,,,,,,,0.11,0.68,,,4.25,79,95,0.00,-4.25
