PlayerName,PlayerId,Pos,Team,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Chad Beebe,2561482,WR,MIN,,,,,,,,,,,,52.40,,,,,,,,,,129,0.00
Reggie Begelton,2563446,WR,FA,,,,,,,,,,,,,,,,,,,,,,130,0.00
Travis Benjamin,2532790,WR,SF,,,,,,,,,,,,,,,,,,,,,,131,0.00
Trinity Benson,2563035,WR,DET,,,,,,,,,,,,17.70,,,,,,,,,,132,0.00
Braxton Berrios,2560975,WR,NYJ,,,,,,,,,,,,,,,,,,,,,,133,0.00
Tarik Black,2565594,WR,FA,,,,,,,,,,,,,,,,,,,,,,134,0.00
Justin Blackmon,2533038,WR,FA,,,,,,,,,,,,,,,,,,,,,,135,0.00
Chris Blair,2565588,WR,FA,,,,,,,,,,,,,,,,,,,,,,136,0.00
Christian Blake,2561443,WR,ATL,,,,,,,,,,,,,,,,,,,,,,137,0.00
C.J. Board,2558911,WR,NYG,,,,,,,,,,,,33.20,,,,,,,,,,138,0.00
Victor Bolden,2558912,WR,FA,,,,,,,,,,,,,,,,,,,,,,139,0.00
Lynn Bowden,2564412,WR,MIA,,,,,,,,,,,,39.60,,,,,,,,,,140,0.00
Ja'Marcus Bradley,2563761,WR,FA,,,,,,,,,,,,,,,,,,,,,,141,0.00
Fred Brown,2559396,WR,FA,,,,,,,,,,,,,,,,,,,,,,142,0.00
John Brown,2543847,WR,FA,,,,,,,,,,,,,,,,,,,,,,143,0.00
Tony Brown,2563764,WR,FA,,,,,,,,,,,,,,,,,,,,,,144,0.00
Dez Bryant,497278,WR,FA,,,,,,,,,,,,,,,,,,,,,,145,0.00
Ventell Bryant,2563267,WR,FA,,,,,,,,,,,,,,,,,,,,,,146,0.00
Rico Bussey,2565780,WR,FA,,,,,,,,,,,,,,,,,,,,,,147,0.00
Hakeem Butler,2562491,WR,FA,,,,,,,,,,,,,,,,,,,,,,148,0.00
Damiere Byrd,2553499,WR,CHI,,,,,,,,,,,,22.00,,,,,1,,,,,149,0.00
Lawrence Cager,2565492,WR,FA,,,,,,,,,,,,,,,,,,,,,,150,0.00
Deon Cain,2560987,WR,FA,,,,,,,,,,,,,,,,,,,,,,151,0.00
Antonio Callaway,2560988,WR,FA,,,,,,,,,,,,,,,,,,,,,,152,0.00
Marquez Callaway,2565310,WR,NO,,,,,,,,,,,,,,,,,,,,,,153,0.00
Jalen Camp,2566148,WR,FA,,,,,,,,,,,,,,,,,,,,,,154,0.00
Dylan Cantrell,2560990,WR,WAS,,,,,,,,,,,,9.40,,,,,,,,,,155,0.00
DeAndre Carter,2553502,WR,WAS,,,,,,,,,,,,9.40,,,,,1,,,,,156,0.00
Quintez Cephus,2563926,WR,DET,,,,,,,,,,,,17.70,,,,,,,,,,157,0.00
D.J. Chark,2561018,WR,JAX,,,,,,,,,,,,38.20,,,,,,,,,,158,0.00
Dan Chisena,2564514,WR,MIN,,,,,,,,,,,,52.40,,,,,,,,,,159,0.00
Randall Cobb,2495448,WR,GB,,,,,,,,,,,,28.10,,,,,,,,,,160,0.00
Keelan Cole,2559153,WR,NYJ,,,,,,,,,,,,,,,,,,,,,,161,0.00
