PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Jarveon Howard,2572663,RB,FA,Bye,,,,,,,,,,,,,,148,93,0.00,
Chuba Hubbard,2565899,RB,CAR,@ATL,,,,22.44,0.09,0.88,5.42,0.06,,,,0.07,3.99,54,94,0.00,-3.99
Evan Hull,2569846,RB,NO,Bye,,,,,,,,,,,,,,149,95,0.00,
Kareem Hunt,2557917,RB,KC,@DEN,,,,13.72,0.18,1.57,10.41,0.1,,,,0.07,4.74,48,96,0.00,-4.74
Jarquez Hunter,2574269,RB,LAR,SEA,,,,2.95,0.02,0.05,0.42,,,,,0.01,0.46,86,97,0.00,-0.46
Max Hurleman,2574495,RB,PIT,CIN,,,,,,,,,,,,,0.00,150,98,0.00,0.0
Alec Ingold,2562288,RB,MIA,WAS,,,,,,,,,,,,,0.00,151,99,0.00,0.0
Bucky Irving,2572546,RB,TB,@BUF,,,,83.83,0.33,3.59,29.15,0.23,,,,0.2,16.05,8,100,0.00,-16.05
Deon Jackson,2565603,RB,FA,Bye,,,,,,,,,,,,,,152,101,0.00,
Ja'Quinden Jackson,2574218,RB,JAX,LAC,,,,,,,,,,,,,0.00,153,102,0.00,0.0
Josh Jacobs,2562377,RB,GB,@NYG,,,,74.57,1.21,2.26,18.82,0.11,,,,0.19,18.01,3,103,0.00,-18.01
Jordan James,2574540,RB,SF,@ARI,,,,0.66,,0.05,0.39,,,,,,0.13,91,104,0.00,-0.13
Ashton Jeanty,2574298,RB,LV,DAL,,,,85.43,0.58,2.85,20.55,0.2,,,,0.2,16.30,7,105,0.00,-16.3
Jermar Jefferson,2566058,RB,ARI,SF,,,,,,,,,,,,,0.00,154,106,0.00,0.0
Terrell Jennings,2573767,RB,NE,NYJ,,,,5.7,0.06,0.09,0.89,0.01,,,,0.02,1.08,73,107,0.00,-1.08
Amar Johnson,2574132,RB,LAC,@JAX,,,,,,,,,,,,,0.00,155,108,0.00,0.0
D'Ernest Johnson,2563327,RB,NE,NYJ,,,,,,,,,,,,,0.00,156,109,0.00,0.0
Jakob Johnson,2562890,RB,HOU,@TEN,,,,,,,,,,,,,0.00,157,110,0.00,0.0
Kaleb Johnson,2574496,RB,PIT,CIN,,,,6.48,0.05,0.16,1.55,0.02,,,,0.01,1.28,70,111,0.00,-1.28
Montrell Johnson Jr.,2574462,RB,FA,Bye,,,,,,,,,,,,,,158,112,0.00,
Roschon Johnson,2569615,RB,CHI,@MIN,,,,1.75,0.04,0.13,0.86,0.01,,,,0.01,0.61,81,113,0.00,-0.61
Ty Johnson,2562293,RB,BUF,TB,,,,19.75,0.15,1.3,13.83,0.12,,,,0.08,5.47,45,114,0.00,-5.47
