PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Kyle Dugger,2564601,DB,NE,2,2,,1,,,,,,,,,,,1,,,99,7.00
Adoree' Jackson,2558065,DB,NYG,4,,,,,,,,,,,,,,,,,100,6.80
David Long,2562798,DB,LA,4,,,,,,,,,,,,,,,,,101,6.80
Asante Samuel Jr.,2566511,DB,LAC,,1,,,1,,,,,,,,,1,,,,102,6.80
Jimmie Ward,2543741,DB,SF,4,,,,,,,,,,,,,,,,,103,6.80
Jeremy Chinn,2563632,DB,CAR,3,2,,,,,,,,,,,,,,,,104,6.70
Quandre Diggs,2552262,DB,SEA,3,2,,,,,,,,,,,,,,,,105,6.70
Jordan Fuller,2564340,DB,LA,3,2,,,,,,,,,,,,,,,,106,6.70
Mike Hilton,2556559,DB,CIN,3,2,,,,,,,,,,,,,,,,107,6.70
Xavien Howard,2555539,DB,MIA,2,1,,,,,,,,,,,,1,,,,108,6.70
Steven Nelson,2552265,DB,PHI,3,2,,,,,,,,,,,,,,,,109,6.70
Darius Phillips,2560839,DB,CIN,3,2,,,,,,,,,,,,,,,,110,6.70
Michael Carter II,2565717,DB,NYJ,2,4,,,,,,,,,,,,,,,,111,6.60
Eric Rowe,2552255,DB,MIA,2,3,,,,,,,,,,,,,1,,,112,6.30
Anthony Averett,2560963,DB,BAL,2,,,,,,,,,,,,,1,,,,113,5.90
Minkah Fitzpatrick,2560725,DB,PIT,3,1,,,,,,,,,,,,,,,,114,5.90
Byron Jones,2552568,DB,MIA,2,,,,,,,,,,,,,1,,,,115,5.90
Rashaan Melvin,2541200,DB,CAR,3,1,,,,,,,,,,,,,,,,116,5.90
Eric Murray,2555173,DB,HOU,3,1,,,,,,,,,,,,,,,,117,5.90
Jaquiski Tartt,2552391,DB,SF,3,1,,,,,,,,,,,,,,,,118,5.90
Xavier Woods,2558159,DB,MIN,2,,,,,,,,,,,,,1,,,,119,5.90
Adrian Colbert,2558857,DB,FA,2,3,,,,,,,,,,,,,,,,120,5.80
Damontae Kazee,2558184,DB,DAL,1,2,,,,,,,,,,,,1,,,,121,5.80
Adrian Phillips,2550842,DB,NE,2,3,,,,,,,,,,,,,,,,122,5.80
Brandon Stephens,2565851,DB,BAL,2,3,,,,,,,,,,,,,,,,123,5.80
Jarrod Wilson,2556711,DB,NYJ,2,1,,1,,,,,,,,,,,,,,124,5.70
Josh Norman,2532920,DB,SF,1,,,,,1,,,,,,,,,,,,125,5.20
Deandre Baker,2562227,DB,KC,3,,,,,,,,,,,,,,,,,126,5.10
Justin Coleman,2553637,DB,MIA,3,,,,,,,,,,,,,,,,,127,5.10
Mike Edwards,2562259,DB,TB,3,,,,,,,,,,,,,,,,,128,5.10
Rudy Ford,2558174,DB,JAX,3,,,,,,,,,,,,,,,,,129,5.10
Kyle Fuller,2543681,DB,DEN,3,,,,,,,,,,,,,,,,,130,5.10
Nate Hobbs,2566259,DB,LV,3,,,,,,,,,,,,,,,,,131,5.10
Jaylon Johnson,2563701,DB,CHI,3,,,,,,,,,,,,,,,,,132,5.10
Tre Norwood,2566463,DB,PIT,3,,,,,,,,,,,,,,,,,133,5.10
D.J. Reed,2560850,DB,SEA,3,,,,,,,,,,,,,,,,,134,5.10
Rashad Fenton,2562649,DB,KC,2,2,,,,,,,,,,,,,,,,135,5.00
Mike Hughes,2560746,DB,KC,1,1,,,,,,,,,,,,1,,,,136,5.00
Desmond King,2557927,DB,HOU,1,1,,,,,,,,,,,,1,,,,137,5.00
Jalen Mills,2555383,DB,NE,2,2,,,,,,,,,,,,,,,,138,5.00
Kindle Vildor,2563713,DB,CHI,2,2,,,,,,,,,,,,,,,,139,5.00
Tracy Walker III,2560913,DB,DET,1,1,,,,,,,,,,,,1,,,,140,5.00
Julian Love,2562414,DB,NYG,,3,,,,,,,,,,,,1,,,,141,4.90
Arthur Maulet,2559087,DB,PIT,2,,,1,,,,,,,,,,,,,,142,4.90
Mackensie Alexander,2555177,DB,MIN,2,1,,,,,,,,,,,,,,,,143,4.20
Henry Black,2563974,DB,GB,2,1,,,,,,,,,,,,,,,,144,4.20
Bryce Callahan,2553500,DB,DEN,1,,,,,,,,,,,,,1,,,,145,4.20
Carlton Davis,2561039,DB,TB,2,1,,,,,,,,,,,,,,,,146,4.20
Jevon Holland,2566283,DB,MIA,2,1,,,,,,,,,,,,,,,,147,4.20
DeAndre Houston-Carson,2555381,DB,CHI,2,1,,,,,,,,,,,,,,,,148,4.20
William Jackson,2556367,DB,WAS,1,,,,,,,,,,,,,1,,,,149,4.20
Dontae Johnson,2543739,DB,SF,2,1,,,,,,,,,,,,,,,,150,4.20
Jonathan Jones,2556571,DB,NE,2,1,,,,,,,,,,,,,,,,151,4.20
Jourdan Lewis,2557920,DB,DAL,2,1,,,,,,,,,,,,,,,,152,4.20
James Pierre,2565003,DB,PIT,1,,,,,,,,,,,,,1,,,,153,4.20
Jamien Sherwood,2565762,DB,NYJ,2,1,,,,,,,,,,,,,,,,154,4.20
Jimmy Smith,2508107,DB,BAL,1,,,,,,,,,,,,,1,,,,155,4.20
Tremon Smith,2561103,DB,HOU,2,1,,,,,,,,,,,,,,,,156,4.20
Greedy Williams,2562785,DB,CLE,1,,,,,,,,,,,,,1,,,,157,4.20
Chris Claybrooks,2564169,DB,JAX,1,3,,,,,,,,,,,,,,,,158,4.10
Juston Burris,2555313,DB,CAR,2,,,,,,,,,,,,,,,,,159,3.40
Camryn Bynum,2566295,DB,MIN,2,,,,,,,,,,,,,,,,,160,3.40
Maurice Canady,2555178,DB,DAL,2,,,,,,,,,,,,,,,,,161,3.40
DeShon Elliott,2560715,DB,BAL,2,,,,,,,,,,,,,,,,,162,3.40
Chris Jackson,2564049,DB,TEN,2,,,,,,,,,,,,,,,,,163,3.40
