PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Doug Costin,2564172,DL,FA,,,,,,,,,,,,,,,,,,64,0.00
Christian Covington,2552602,DL,LAC,,,,,,,,,,,,,,,,,,65,0.00
Byron Cowart,2562392,DL,NE,,,,,,,,,,,,,,,,,,66,0.00
Fletcher Cox,2533051,DL,PHI,,,,,,,,,,,,,,,,,,67,0.00
Jack Crawford,2532992,DL,ARI,,,,,,,,,,,,,,,,,,68,0.00
Tyrone Crawford,2532821,DL,FA,,,,,,,,,,,,,,,,,,69,0.00
Maxx Crosby,2562439,DL,LV,,,,,,,,,,,,,,,,,,70,0.00
Vinny Curry,2532825,DL,NYJ,,,,,,,,,,,,,,,,,,71,0.00
Jalen Dalton,2563120,DL,NO,,,,,,,,,,,,,,,,,,72,0.00
Darrion Daniels,2565096,DL,FA,,,,,,,,,,,,,,,,,,73,0.00
Michael Danna,2564262,DL,KC,,,,,,,,,,,,,,,,,,74,0.00
Marcus Davenport,2561037,DL,NO,,,,,,,,,,,,,,,,,,75,0.00
Marlon Davidson,2563479,DL,ATL,,,,,,,,,,,,,,,,,,76,0.00
Carlos Davis,2564976,DL,PIT,,,,,,,,,,,,,,,,,,77,0.00
Khalil Davis,2565210,DL,FA,,,,,,,,,,,,,,,,,,78,0.00
Raekwon Davis,2564445,DL,MIA,,,,,,,,,,,,,,,,,,79,0.00
Tyeler Davison,2552329,DL,ATL,,,,,,,,,,,,,,,,,,80,0.00
Sheldon Day,2555241,DL,FA,,,,,,,,,,,,,,,,,,81,0.00
Matt Dickerson,2561044,DL,FA,,,,,,,,,,,,,,,,,,82,0.00
Victor Dimukeje,2566424,DL,ARI,,,,,,,,,,,,,,,,,,83,0.00
Aaron Donald,2543485,DL,LA,,,,,,,,,,,,,,,,,,84,0.00
Carlos Dunlap,496780,DL,SEA,,,,,,,,,,,,,,,,,,85,0.00
Mario Edwards,2553433,DL,CHI,,,,,,,,,,,,,,,,,,86,0.00
Daniel Ekuale,2561458,DL,FA,,,,,,,,,,,,,,,,,,87,0.00
Jordan Elliott,2563779,DL,CLE,,,,,,,,,,,,,,,,,,88,0.00
Justin Ellis,2543812,DL,BAL,,,,,,,,,,,,,,,,,,89,0.00
A.J. Epenesa,2563605,DL,BUF,,,,,,,,,,,,,,,,,,90,0.00
Foley Fatukasi,2560722,DL,NYJ,,,,,,,,,,,,,,,,,,91,0.00
Clelin Ferrell,2562263,DL,LV,,,,,,,,,,,,,,,,,,92,0.00
Trey Flowers,2552278,DL,DET,,,,,,,,,,,,,,,,,,93,0.00
Poona Ford,2561195,DL,SEA,,,,,,,,,,,,,,,,,,94,0.00
Leki Fotu,2564910,DL,ARI,,,,,,,,,,,,,,,,,,95,0.00
Dante Fowler Jr.,2553431,DL,ATL,,,,,,,,,,,,,,,,,,96,0.00
Morgan Fox,2556529,DL,CAR,,,,,,,,,,,,,,,,,,97,0.00
John Franklin-Myers,2560731,DL,NYJ,,,,,,,,,,,,,,,,,,98,0.00
Greg Gaines,2562391,DL,LA,,,,,,,,,,,,,,,,,,99,0.00
Neville Gallimore,2563842,DL,DAL,,,,,,,,,,,,,,,,,,100,0.00
Myles Garrett,2557965,DL,CLE,,,,,,,,,,,,,,,,,,101,0.00
Joe Gaziano,2565036,DL,LAC,,,,,,,,,,,,,,,,,,102,0.00
William Gholston,2540176,DL,TB,,,,,,,,,,,,,,,,,,103,0.00
Kevin Givens,2562655,DL,SF,,,,,,,,,,,,,,,,,,104,0.00
Ryan Glasgow,2557851,DL,FA,,,,,,,,,,,,,,,,,,105,0.00
Davon Godchaux,2558012,DL,NE,,,,,,,,,,,,,,,,,,106,0.00
Chauncey Golston,2566007,DL,DAL,,,,,,,,,,,,,,,,,,107,0.00
Adam Gotsis,2555502,DL,JAX,,,,,,,,,,,,,,,,,,108,0.00
Brandon Graham,496788,DL,PHI,,,,,,,,,,,,,,,,,,109,0.00
Carl Granderson,2562273,DL,NO,,,,,,,,,,,,,,,,,,110,0.00
Rasheem Green,2560998,DL,SEA,,,,,,,,,,,,,,,,,,111,0.00
Randy Gregory,2552446,DL,DAL,,,,,,,,,,,,,,,,,,112,0.00
Everson Griffen,496790,DL,MIN,,,,,,,,,,,,,,,,,,113,0.00
Yetur Gross-Matos,2563641,DL,CAR,,,,,,,,,,,,,,,,,,114,0.00
Porter Gustin,2562276,DL,FA,,,,,,,,,,,,,,,,,,115,0.00
Lawrence Guy,2495481,DL,NE,,,,,,,,,,,,,,,,,,116,0.00
DaVon Hamilton,2564190,DL,JAX,,,,,,,,,,,,,,,,,,117,0.00
Justin Hamilton,2553531,DL,FA,,,,,,,,,,,,,,,,,,118,0.00
Woodrow Hamilton,2556546,DL,FA,,,,,,,,,,,,,,,,,,119,0.00
Johnathan Hankins,2540147,DL,LV,,,,,,,,,,,,,,,,,,120,0.00
Javon Hargrave,2555239,DL,PHI,,,,,,,,,,,,,,,,,,121,0.00
Charles Harris,2558001,DL,DET,,,,,,,,,,,,,,,,,,122,0.00
