PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Rank,TotalPoints
David Njoku,2557986,TE,CLE,,,,,,,,,,,,3.14,,,,,143,0.00
Albert Okwuegbunam,2563911,TE,DEN,,,,,,,,,,,,3.79,,,,,144,0.00
Josh Oliver,2562693,TE,BAL,,,,,,,,,,,,,,,,,145,0.00
Donald Parham,2562394,TE,LAC,,,,,,,,,,,,3.61,,,,,146,0.00
Colby Parkinson,2565180,TE,SEA,,,,,,,,,,,,,,,,,147,0.00
Jared Pinkney,2563518,TE,FA,,,,,,,,,,,,,,,,,148,0.00
Kyle Pitts,2565830,TE,ATL,,,,,,,,,,,,2.56,,,,,149,0.00
Tony Poljan,2566620,TE,FA,,,,,,,,,,,,,,,,,150,0.00
Jake Powell,2563134,TE,FA,,,,,,,,,,,,,,,,,151,0.00
Paul Quessenberry,2565531,TE,FA,,,,,,,,,,,,,,,,,152,0.00
Kevin Rader,2561264,TE,FA,,,,,,,,,,,,,,,,,153,0.00
Dax Raymond,2562710,TE,FA,,,,,,,,,,,,,,,,,154,0.00
Sammis Reyes,2565807,TE,WAS,,,,,,,,,,,,,,,,,155,0.00
Giovanni Ricci,2563668,TE,CAR,,,,,,,,,,,,2.78,,,,,156,0.00
Ellis Richardson,2563081,TE,FA,,,,,,,,,,,,,,,,,157,0.00
Kyle Rudolph,2495438,TE,NYG,,,,,,,,,,,,2.23,,,,,158,0.00
Drew Sample,2562720,TE,CIN,,,,,,,,,,,,4.20,,,,,159,0.00
Eric Saubert,2558023,TE,DEN,,,,,,,,,,,,3.79,,,,,160,0.00
Mason Schreck,2558864,TE,FA,,,,,,,,,,,,,,,,,161,0.00
Dalton Schultz,2560866,TE,DAL,,,,,,,,,,,,1.74,,,,,162,0.00
Ricky Seals-Jones,2559248,TE,WAS,,,,,,,,,,,,,,,,,163,0.00
Adam Shaheen,2558144,TE,MIA,,,,,,,,,,,,2.22,,,,,164,0.00
Irv Smith,2562738,TE,MIN,,,,,,,,,,,,2.06,,,,,165,0.00
Jonnu Smith,2558207,TE,NE,,,,,,,,,,,,3.37,,,,,166,0.00
Kaden Smith,2562740,TE,NYG,,,,,,,,,,,,2.23,,,,,167,0.00
Durham Smythe,2560880,TE,MIA,,,,,,,,,,,,2.22,,,,,168,0.00
Dylan Soehner,2565711,TE,NO,,,,,,,,,,,,4.24,,,,,169,0.00
Matt Sokol,2562980,TE,FA,,,,,,,,,,,,,,,,,170,0.00
Jeremy Sprinkle,2557886,TE,DAL,,,,,,,,,,,,1.74,,,,,171,0.00
Jace Sternberger,2562744,TE,FA,,,,,,,,,,,,,,,,,172,0.00
Jack Stoll,2567061,TE,PHI,,,,,,,,,,,,5.65,,,,,173,0.00
Stephen Sullivan,2565192,TE,FA,,,,,,,,,,,,,,,,,174,0.00
Tommy Sweeney,2562750,TE,BUF,,,,,,,,,,,,3.00,,,,,175,0.00
Tyrone Swoopes,2559263,TE,FA,,,,,,,,,,,,,,,,,176,0.00
