PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Malik Taylor,2562995,WR,GB,,,,,,,,,,,,,6.13,,,,,,,,,,323,0.00
Trent Taylor,2558202,WR,CIN,,,,,,,,,,,,,7.89,,,,,,,,,,324,0.00
Tamorrion Terry,2567130,WR,FA,,,,,,,,,,,,,,,,,,,,,,,325,0.00
De'Anthony Thomas,2543638,WR,FA,,,,,,,,,,,,,,,,,,,,,,,326,0.00
Michael Thomas,2556370,WR,NO,,,,,,,,,,,,,3.97,,,,,,,,,,327,0.00
Mike Thomas,2556381,WR,CIN,,,,,,,,,,,,,7.89,,,,,,,,,,328,0.00
Cody Thompson,2562759,WR,SEA,,,,,,,,,,,,,8.18,,,,,,,,,,329,0.00
Kadarius Toney,2566376,WR,NYG,,,,,,,,,,,,,8.34,,,,,,,,,,330,0.00
Laquon Treadwell,2555214,WR,JAX,,,,,,,,,,,,,5.58,,,,,,,,,,331,0.00
DJ Turner,2565666,WR,LV,,,,,,,,,,,,,9.23,,,,,,,,,,332,0.00
Malik Turner,2561671,WR,DAL,,,,,,,,,,,,,8.65,,,,,,,,,,333,0.00
John Ursua,2562960,WR,SEA,,,,,,,,,,,,,8.18,,,,,,,,,,334,0.00
Marquez Valdes-Scantling,2560907,WR,GB,,,,,,,,,,,,,6.13,,,,,,,,,,335,0.00
Tyler Vaughns,2565618,WR,PIT,,,,,,,,,,,,,6.49,,,,,,,,,,336,0.00
Ben Victor,2564781,WR,BAL,,,,,,,,,,,,,6.76,,,,,,,,,,337,0.00
Jaylen Waddle,2566292,WR,MIA,,,,,,,,,,,,,5.98,,,,,,,,,,338,0.00
Tre Walker,2566650,WR,FA,,,,,,,,,,,,,,,,,,,,,,,339,0.00
Tylan Wallace,2565857,WR,BAL,,,,,,,,,,,,,6.76,,,,,,,,,,340,0.00
Greg Ward,2559278,WR,PHI,,,,,,,,,,,,,8.43,,,,,,,,,,341,0.00
JoJo Ward,2564946,WR,FA,,,,,,,,,,,,,,,,,,,,,,,342,0.00
James Washington,2560920,WR,PIT,,,,,,,,,,,,,6.49,,,,,,,,,,343,0.00
Scotty Washington,2563743,WR,FA,,,,,,,,,,,,,,,,,,,,,,,344,0.00
Quez Watkins,2564880,WR,PHI,,,,,,,,,,,,,8.43,,,,,,,,,,345,0.00
Justin Watson,2560051,WR,TB,,,,,,,,,,,,,6.74,,,,,,,,,,346,0.00
Jester Weah,2560922,WR,FA,,,,,,,,,,,,,,,,,,,,,,,347,0.00
Nsimba Webster,2563316,WR,CHI,,,,,,,,,,,,,5.83,,,,,,,,,,348,0.00
Antoine Wesley,2562779,WR,ARI,,,,,,,,,,,,,,,,,,,,,,,349,0.00
