PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Rudy Ford,2558174,DB,GB,NYJ,,,,,,,,,,,,,,,,,,140,0.00
Darrick Forrest,2566598,DB,WAS,@CHI,,,,,,,,,,,,,,,,,,141,0.00
Benjie Franklin,2567742,DB,GB,NYJ,,,,,,,,,,,,,,,,,,142,0.00
Sam Franklin,2563638,DB,CAR,@LA,,,,,,,,,,,,,,,,,,143,0.00
Jordan Fuller,2564340,DB,LA,CAR,,,,,,,,,,,,,,,,,,144,0.00
Kendall Fuller,2555349,DB,WAS,@CHI,,,,,,,,,,,,,,,,,,145,0.00
Kristian Fulton,2564046,DB,TEN,Bye,,,,,,,,,,,,,,,,,,146,0.00
Innis Gaines,2565591,DB,FA,Bye,,,,,,,,,,,,,,,,,,147,0.00
Sauce Gardner,2568027,DB,NYJ,@GB,,,,,,,,,,,,,,,,,,148,0.00
C.J. Gardner-Johnson,2562588,DB,PHI,DAL,,,,,,,,,,,,,,,,,,149,0.00
Jake Gervase,2563306,DB,LA,CAR,,,,,,,,,,,,,,,,,,150,0.00
Mark Gilbert,2565783,DB,PIT,TB,,,,,,,,,,,,,,,,,,151,0.00
Tyree Gillespie,2566256,DB,JAX,@IND,,,,,,,,,,,,,,,,,,152,0.00
Alohi Gilman,2565042,DB,LAC,DEN,,,,,,,,,,,,,,,,,,153,0.00
Stephon Gilmore,2533062,DB,IND,JAX,,,,,,,,,,,,,,,,,,154,0.00
Jeff Gladney,2564541,DB,FA,Bye,,,,,,,,,,,,,,,,,,155,0.00
Mario Goodrich,2568084,DB,PHI,DAL,,,,,,,,,,,,,,,,,,156,0.00
C.J. Goodwin,2550767,DB,DAL,@PHI,,,,,,,,,,,,,,,,,,157,0.00
Kyler Gordon,2567391,DB,CHI,WAS,,,,,,,,,,,,,,,,,,158,0.00
Tay Gowan,2566427,DB,MIN,@MIA,,,,,,,,,,,,,,,,,,159,0.00
Thomas Graham Jr.,2565923,DB,CLE,NE,,,,,,,,,,,,,,,,,,160,0.00
