PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Equanimeous St. Brown,2560883,WR,GB,@ARI,,,,,2,12,,,,,,3.07,89,2.20,3.07,-0.87
Collin Johnson,2564202,WR,NYG,@KC,,,,,2,10,,,,,,2.34,90,2.00,2.34,-0.34
Rondale Moore,2566433,WR,ARI,GB,,,,1,3,24,,,,,1,5.50,91,2.00,5.5,-3.5
K.J. Osborn,2564574,WR,MIN,DAL,,,,,2,10,,,,,,6.44,92,2.00,6.44,-4.44
DeVonta Smith,2566409,WR,PHI,@DET,,,,,1,15,,,,,,12.38,93,2.00,12.38,-10.38
Ashton Dulin,2562646,WR,IND,TEN,,,,,,,,,,,,1.92,94,1.70,1.92,-0.22
Mack Hollins,2558262,WR,MIA,@BUF,,,,,,,,,,,,2.50,95,1.70,2.5,-0.8
Marcus Kemp,2559076,WR,KC,NYG,,,,,,,,,,,,0.71,96,1.70,0.71,0.99
Byron Pringle,2560844,WR,KC,NYG,,,,,1,12,,,,,,4.56,97,1.70,4.56,-2.86
Malik Taylor,2562995,WR,GB,@ARI,,,,,,,,,,,,2.41,98,1.70,2.41,-0.71
Olamide Zaccheaus,2562808,WR,ATL,CAR,,,,,1,12,,,,,,6.69,99,1.70,6.69,-4.99
Tyron Johnson,2562932,WR,JAX,@SEA,,,,,1,10,,,,,,1.03,100,1.50,1.03,0.47
Jeff Smith,2562845,WR,NYJ,CIN,,,,-1,1,10,,,,,,0.72,101,1.40,0.72,0.68
Noah Brown,2558091,WR,DAL,@MIN,,,,,1,7,,,,,,1.92,102,1.20,1.92,-0.72
Odell Beckham Jr.,2543496,WR,FA,Bye,,,,,1,6,,,,,,,103,1.10,,
Ihmir Smith-Marsette,2566319,WR,MIN,DAL,,,,,1,6,,,,,,0.78,104,1.10,0.78,0.32
Tavon Austin,2539336,WR,JAX,@SEA,,,,,1,5,,,,,,2.38,105,1.00,2.38,-1.38
James Washington,2560920,WR,PIT,@CLE,,,,,1,4,,,,,,3.25,106,0.90,3.25,-2.35
Tyrie Cleveland,2563881,WR,DEN,WAS,,,,,,,,,,,,1.17,107,0.80,1.17,-0.37
Matthew Slater,4487,WR,NE,@LAC,,,,,,,,,,,,0.35,108,0.80,0.35,0.45
Amari Rodgers,2566091,WR,GB,@ARI,,,,11,1,7,,,,,1,1.45,109,0.30,1.45,-1.15
Shi Smith,2565908,WR,CAR,@ATL,,,,,1,-2,,,,,,2.58,110,0.30,2.58,-2.28
Davante Adams,2543495,WR,GB,@ARI,,,,,,,,,,,,0.00,111,0.00,0.0,0.0
Rodney Adams,2558047,WR,CHI,SF,,,,,,,,,,,,0.00,112,0.00,0.0,0.0
Quincy Adeboyejo,2558906,WR,FA,Bye,,,,,,,,,,,,,113,0.00,,
