PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Spencer Brown,2565558,RB,CAR,NYJ,,,,,,,,,,,,0.00,113,0.00,0.0,0.0
Raymond Calais,2565207,RB,LA,CHI,,,,,,,,,,,,,114,0.00,,
Patrick Carr,2565138,RB,FA,Bye,,,,,,,,,,,,,115,0.00,,
Jordan Chunn,2561308,RB,FA,Bye,,,,,,,,,,,,,116,0.00,,
Darius Clark,2565561,RB,FA,Bye,,,,,,,,,,,,,117,0.00,,
Tarik Cohen,2558250,RB,CHI,@LA,,,,,,,,,,,,,118,0.00,,
Alex Collins,2555430,RB,SEA,@IND,,,,,,,,,,,,0.00,119,0.00,0.0,0.0
Nathan Cottrell,2564175,RB,JAX,@HOU,,,,,,,,,,,,0.00,120,0.00,0.0,0.0
Damarea Crockett,2563223,RB,DEN,@NYG,,,,,,,,,,,,2.09,121,0.00,2.09,-2.09
Mikey Daniel,2563476,RB,FA,Bye,,,,,,,,,,,,,122,0.00,,
Matt Dayes,2557987,RB,FA,Bye,,,,,,,,,,,,,123,0.00,,
Gerrid Doaks,2566277,RB,MIA,@NE,,,,,,,,,,,,0.00,124,0.00,0.0,0.0
J.K. Dobbins,2563548,RB,BAL,@LV,,,,,,,,,,,,,125,0.00,,
Rico Dowdle,2565295,RB,DAL,@TB,,,,,,,,,,,,,126,0.00,,
Trey Edmunds,2559325,RB,PIT,@BUF,,,,,,,,,,,,0.00,127,0.00,0.0,0.0
Gus Edwards,2561324,RB,BAL,@LV,,,,,,,,,,,,,128,0.00,,
Travis Etienne,2566157,RB,JAX,@HOU,,,,,,,,,,,,,129,0.00,,
Chris Evans,2565944,RB,CIN,MIN,,,,,,,,,,,,2.28,130,0.00,2.28,-2.28
Darrynton Evans,2564043,RB,TEN,ARI,,,,,,,,,,,,,131,0.00,,
Tavien Feaster,2564187,RB,ARI,@TEN,,,,,,,,,,,,0.00,132,0.00,0.0,0.0
Demetric Felton,2565968,RB,CLE,@KC,,,,,,,,,,,,1.59,133,0.00,1.59,-1.59
D'Onta Foreman,2557994,RB,TEN,ARI,,,,,,,,,,,,0.00,134,0.00,0.0,0.0
D.J. Foster,2556528,RB,FA,Bye,,,,,,,,,,,,,135,0.00,,
Devonta Freeman,2543583,RB,BAL,@LV,,,,,,,,,,,,0.00,136,0.00,0.0,0.0
Royce Freeman,2560733,RB,FA,Bye,,,,,,,,,,,,,137,0.00,,
Tyler Gaffney,2543655,RB,FA,Bye,,,,,,,,,,,,,138,0.00,,
Wayne Gallman,2557952,RB,ATL,PHI,,,,,,,,,,,,0.00,139,0.00,0.0,0.0
Cullen Gillaspia,2562906,RB,NYG,DEN,,,,,,,,,,,,0.34,140,0.00,0.34,-0.34
Derrick Gore,2563347,RB,KC,CLE,,,,,,,,,,,,0.00,141,0.00,0.0,0.0
Garrett Groshek,2565645,RB,FA,Bye,,,,,,,,,,,,,142,0.00,,
Pete Guerrerio,2565539,RB,FA,Bye,,,,,,,,,,,,,143,0.00,,
Todd Gurley,2552475,RB,FA,Bye,,,,,,,,,,,,,144,0.00,,
Javian Hawkins,2566689,RB,LA,CHI,,,,,,,,,,,,0.00,145,0.00,0.0,0.0
Khalil Herbert,2565926,RB,CHI,@LA,,,,,,,,,,,,1.18,146,0.00,1.18,-1.18
Brian Hill,2558112,RB,FA,Bye,,,,,,,,,,,,,147,0.00,,
Justice Hill,2562407,RB,BAL,@LV,,,,,,,,,,,,,148,0.00,,
Dontrell Hilliard,2561461,RB,TEN,ARI,,,,,,,,,,,,0.00,149,0.00,0.0,0.0
Josh Hokit,2565111,RB,SF,@DET,,,,,,,,,,,,0.00,150,0.00,0.0,0.0
Elijah Holyfield,2562664,RB,CIN,MIN,,,,,,,,,,,,0.00,151,0.00,0.0,0.0
Jordan Howard,2555418,RB,PHI,@ATL,,,,,,,,,,,,0.00,152,0.00,0.0,0.0
Buddy Howell,2561344,RB,LA,CHI,,,,,,,,,,,,0.00,153,0.00,0.0,0.0
Caleb Huntley,2566692,RB,ATL,PHI,,,,,,,,,,,,0.00,154,0.00,0.0,0.0
Jason Huntley,2563938,RB,PHI,@ATL,,,,,,,,,,,,0.00,155,0.00,0.0,0.0
Deon Jackson,2565603,RB,IND,SEA,,,,,,,,,,,,0.00,156,0.00,0.0,0.0
Andy Janovich,2555432,RB,CLE,@KC,,,,,,,,,,,,0.22,157,0.00,0.22,-0.22
Jermar Jefferson,2566058,RB,DET,SF,,,,,,,,,,,,0.00,158,0.00,0.0,0.0
D'Ernest Johnson,2563327,RB,CLE,@KC,,,,,,,,,,,,0.31,159,0.00,0.31,-0.31
Duke Johnson,2552461,RB,MIA,@NE,,,,,,,,,,,,0.00,160,0.00,0.0,0.0
Jakob Johnson,2562890,RB,NE,MIA,,,,,,,,,,,,0.57,161,0.00,0.57,-0.57
Kerryon Johnson,2560765,RB,FA,Bye,,,,,,,,,,,,,162,0.00,,
Taiwan Jones,2495467,RB,BUF,PIT,,,,,,,,,,,,0.85,163,0.00,0.85,-0.85
Xavier Jones,2564364,RB,LA,CHI,,,,,,,,,,,,,164,0.00,,
Joshua Kelley,2565054,RB,LAC,@WAS,,,,,,,,,,,,0.00,165,0.00,0.0,0.0
John Kelly,2560777,RB,CLE,@KC,,,,,,,,,,,,0.00,166,0.00,0.0,0.0
Adrian Killins Jr.,2564841,RB,DEN,@NYG,,,,,,,,,,,,,167,0.00,,
Patrick Laird,2563296,RB,MIA,@NE,,,,,,,,,,,,0.00,168,0.00,0.0,0.0
Benny LeMay,2563794,RB,FA,Bye,,,,,,,,,,,,,169,0.00,,
Dion Lewis,2495469,RB,FA,Bye,,,,,,,,,,,,,170,0.00,,
Marlon Mack,2558123,RB,IND,SEA,,,,,,,,,,,,5.72,171,0.00,5.72,-5.72
Ben Mason,2565845,RB,FA,Bye,,,,,,,,,,,,,172,0.00,,
LeSean McCoy,79607,RB,FA,Bye,,,,,,,,,,,,,173,0.00,,
Nate McCrary,2566617,RB,BAL,@LV,,,,,,,,,,,,0.00,174,0.00,0.0,0.0
Anthony McFarland,2564994,RB,PIT,@BUF,,,,,,,,,,,,0.00,175,0.00,0.0,0.0
Elijah McGuire,2557934,RB,KC,CLE,,,,,,,,,,,,0.00,176,0.00,0.0,0.0
Jerick McKinnon,2543715,RB,KC,CLE,,,,,,,,,,,,3.24,177,0.00,3.24,-3.24
Lamar Miller,2533034,RB,NO,GB,,,,,,,,,,,,0.00,178,0.00,0.0,0.0
Dedrick Mills,2566905,RB,FA,Bye,,,,,,,,,,,,,179,0.00,,
Taquan Mizzell,2558975,RB,FA,Bye,,,,,,,,,,,,,180,0.00,,
Alfred Morris,2533457,RB,FA,Bye,,,,,,,,,,,,,181,0.00,,
