PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Adam Trautman,2564703,TE,DEN,JAX,,,,,,0.89,9.78,0.07,,,,0.01,1.82,47,192,0.00,-1.82
Tommy Tremble,2565914,TE,CAR,TB,,,,,,1.25,11.9,0.09,,,,0.02,2.32,44,193,0.00,-2.32
Cole Turner,2568354,TE,FA,Bye,,,,,,,,,,,,,,199,194,0.00,
Mitch Van Vooren,2574629,TE,FA,Bye,,,,,,,,,,,,,,200,195,0.00,
Nick Vannett,2555289,TE,MIN,@NYG,,,,,,,,,,,,,0.00,201,196,0.00,0.0
Travis Vokolek,2570431,TE,ARI,ATL,,,,,,,,,,,,,0.00,202,197,0.00,0.0
Darren Waller,2552408,TE,MIA,CIN,,,,,,2.88,30.95,0.19,,,,0.03,5.62,25,198,0.00,-5.62
Tyler Warren,2574204,TE,IND,SF,,,,2.03,0.02,4.84,52.86,0.32,,,,0.16,9.63,5,199,0.00,-9.63
Darnell Washington,2570257,TE,PIT,@DET,,,,,,0.86,8.55,0.05,,,,0.01,1.57,53,200,0.00,-1.57
Scotty Washington,2563743,TE,FA,Bye,,,,,,,,,,,,,,203,201,0.00,
Tre Watson,2574258,TE,KC,@TEN,,,,,,,,,,,,,0.00,204,202,0.00,0.0
Treyton Welch,2573040,TE,NO,NYJ,,,,,,,,,,,,,0.00,205,203,0.00,0.0
Jack Westover,2572786,TE,NE,@BAL,,,,,,,,,,,,,0.00,206,204,0.00,0.0
Blake Whiteheart,2571077,TE,CLE,BUF,,,,,,,,,,,,,0.00,207,205,0.00,0.0
Josh Whyle,2569810,TE,GB,@CHI,,,,,,,,,,,,,0.00,208,206,0.00,0.0
Jared Wiley,2572183,TE,KC,@TEN,,,,,,0.22,2.16,0.01,,,,,0.39,81,207,0.00,-0.39
Brayden Willis,2570293,TE,SF,@IND,,,,,,,,,,,,,0.00,209,208,0.00,0.0
Joel Wilson,2571724,TE,TEN,KC,,,,,,,,,,,,,0.00,210,209,0.00,0.0
Charlie Woerner,2565129,TE,ATL,@ARI,,,,,,0.52,4.97,0.02,,,,0.01,0.86,65,210,0.00,-0.86
Jelani Woods,2567724,TE,NYJ,@NO,,,,,,,,,,,,,0.00,211,211,0.00,0.0
Brock Wright,2567221,TE,DET,PIT,,,,,,,,,,,,,0.00,212,212,0.00,0.0
Colson Yankoff,2573620,TE,WAS,PHI,,,,,,,,,,,,,0.00,213,213,0.00,0.0
Thomas Yassmin,2573109,TE,LAC,@DAL,,,,,,,,,,,,,0.00,214,214,0.00,0.0
Kenny Yeboah,2565768,TE,DET,PIT,,,,,,,,,,,,,0.00,215,215,0.00,0.0
Ben Yurosek,2574362,TE,MIN,@NYG,,,,,,,,,,,,,0.00,216,216,0.00,0.0
Shane Zylstra,2567172,TE,DET,PIT,,,,,,,,,,,,,0.00,217,217,0.00,0.0
