PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Jake Ferguson,2567496,TE,DAL,@SF,,,,,,,,,,,,,7.26,41,0.00,-7.26
Anthony Firkser,2558942,TE,NYJ,@NE,,,,,,,,,,,,,0.00,42,0.00,0.0
Tucker Fisk,2569324,TE,LAC,NO,,,,,,,,,,,,,0.00,43,0.00,0.0
John FitzPatrick,2567241,TE,ATL,@TB,,,,,,,,,,,,,0.00,44,0.00,0.0
Kevin Foelsch,2573861,TE,FA,Bye,,,,,,,,,,,,,,45,0.00,
Miller Forristall,2566944,TE,LAR,MIN,,,,,,,,,,,,,0.00,46,0.00,0.0
Joseph Fortson,2563259,TE,FA,Bye,,,,,,,,,,,,,,47,0.00,
Cole Fotheringham,2568972,TE,FA,Bye,,,,,,,,,,,,,,48,0.00,
Feleipe Franks,2566683,TE,CAR,@DEN,,,,,,,,,,,,,0.00,49,0.00,0.0
Pat Freiermuth,2566442,TE,PIT,NYG,,,,,,,,,,,,,5.74,50,0.00,-5.74
Devon Garrison,2573898,TE,FA,Bye,,,,,,,,,,,,,,51,0.00,
Zach Gentry,2562654,TE,FA,Bye,,,,,,,,,,,,,,52,0.00,
Mike Gesicki,2560994,TE,CIN,PHI,,,,,,,,,,,,,5.32,53,0.00,-5.32
Dallas Goedert,2560995,TE,PHI,@CIN,,,,,,,,,,,,,7.02,54,0.00,-7.02
Cam Grandy,2572995,TE,CIN,PHI,,,,,,,,,,,,,0.00,55,0.00,0.0
Kylen Granson,2566145,TE,IND,@HOU,,,,,,,,,,,,,1.85,56,0.00,-1.85
Noah Gray,2566178,TE,KC,@LV,,,,,,,,,,,,,3.16,57,0.00,-3.16
Jacob Harris,2566220,TE,PHI,@CIN,,,,,,,,,,,,,0.00,58,0.00,0.0
Zach Heins,2573424,TE,FA,Bye,,,,,,,,,,,,,,59,0.00,
Peyton Hendershot,2568690,TE,KC,@LV,,,,,,,,,,,,,0.00,60,0.00,0.0
Hunter Henry,2555341,TE,NE,NYJ,,,,,,,,,,,,,6.03,61,0.00,-6.03
