PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Steven Nelson,2552265,DB,PHI,@DAL,3,2,,,,,,,,,,,,,,,,8.05,109,6.70,8.05,-1.35
Darius Phillips,2560839,DB,CIN,@PIT,3,2,,,,,,,,,,,,,,,,2.38,110,6.70,2.38,4.32
Michael Carter II,2565717,DB,NYJ,@DEN,2,4,,,,,,,,,,,,,,,,4.88,111,6.60,4.88,1.72
Eric Rowe,2552255,DB,MIA,@LV,2,3,,,,,,,,,,,,,1,,,9.99,112,6.30,9.99,-3.69
Anthony Averett,2560963,DB,BAL,@DET,2,,,,,,,,,,,,,1,,,,9.64,113,5.90,9.64,-3.74
Minkah Fitzpatrick,2560725,DB,PIT,CIN,3,1,,,,,,,,,,,,,,,,10.57,114,5.90,10.57,-4.67
Byron Jones,2552568,DB,MIA,@LV,2,,,,,,,,,,,,,1,,,,8.03,115,5.90,8.03,-2.13
Rashaan Melvin,2541200,DB,CAR,@HOU,3,1,,,,,,,,,,,,,,,,6.47,116,5.90,6.47,-0.57
Eric Murray,2555173,DB,HOU,CAR,3,1,,,,,,,,,,,,,,,,0.00,117,5.90,0.0,5.9
Jaquiski Tartt,2552391,DB,SF,GB,3,1,,,,,,,,,,,,,,,,,118,5.90,,
Xavier Woods,2558159,DB,MIN,SEA,2,,,,,,,,,,,,,1,,,,8.29,119,5.90,8.29,-2.39
Adrian Colbert,2558857,DB,FA,Bye,2,3,,,,,,,,,,,,,,,,,120,5.80,,
Damontae Kazee,2558184,DB,DAL,PHI,1,2,,,,,,,,,,,,1,,,,8.87,121,5.80,8.87,-3.07
Adrian Phillips,2550842,DB,NE,NO,2,3,,,,,,,,,,,,,,,,9.95,122,5.80,9.95,-4.15
