PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Derrick Henry,2556075,RB,TEN,NO,,,,,,,,,,,,0.00,,,,,,,,,,92,0.00
Khalil Herbert,2565926,RB,CHI,Bye,,,,,,,,,,,,,,,,,,,,,,93,0.00
Brian Hill,2558112,RB,CLE,@NE,,,,,,,,,,,,0.00,,,,,,,,,,94,0.00
Justice Hill,2562407,RB,BAL,@MIA,,,,,,,,,,,,7.40,,,,,,,,,,95,0.00
Kylin Hill,2566076,RB,GB,SEA,,,,,,,,,,,,0.00,,,,,,,,,,96,0.00
Dontrell Hilliard,2561461,RB,TEN,NO,,,,,,,,,,,,0.00,,,,,,,,,,97,0.00
Nyheim Hines,2560742,RB,IND,JAX,,,,,,,,,,,,0.00,,,,,,,,,,98,0.00
Josh Hokit,2565111,RB,SF,LA,,,,,,,,,,,,0.00,,,,,,,,,,99,0.00
Elijah Holyfield,2562664,RB,CIN,Bye,,,,,,,,,,,,,,,,,,,,,,100,0.00
Travis Homer,2562665,RB,SEA,@GB,,,,,,,,,,,,0.00,,,,,,,,,,101,0.00
Jordan Howard,2555418,RB,PHI,@DEN,,,,,,,,,,,,0.00,,,,,,,,,,102,0.00
Buddy Howell,2561344,RB,LA,@SF,,,,,,,,,,,,0.00,,,,,,,,,,103,0.00
Chuba Hubbard,2565899,RB,CAR,@ARI,,,,,,,,,,,,0.00,,,,,,,,,,104,0.00
Kareem Hunt,2557917,RB,CLE,@NE,,,,,,,,,,,,0.00,,,,,,,,,,105,0.00
Caleb Huntley,2566692,RB,ATL,@DAL,,,,,,,,,,,,0.00,,,,,,,,,,106,0.00
Jason Huntley,2563938,RB,PHI,@DEN,,,,,,,,,,,,0.00,,,,,,,,,,107,0.00
Carlos Hyde,2543743,RB,JAX,@IND,,,,,,,,,,,,0.00,,,,,,,,,,108,0.00
Godwin Igwebuike,2560749,RB,DET,@PIT,,,,,,,,,,,,0.00,,,,,,,,,,109,0.00
Alec Ingold,2562288,RB,LV,KC,,,,,,,,,,,,0.00,,,,,,,,,,110,0.00
Mark Ingram,2495466,RB,NO,@TEN,,,,,,,,,,,,0.00,,,,,,,,,,111,0.00
Deon Jackson,2565603,RB,IND,JAX,,,,,,,,,,,,0.00,,,,,,,,,,112,0.00
Justin Jackson,2560756,RB,LAC,MIN,,,,,,,,,,,,0.00,,,,,,,,,,113,0.00
Josh Jacobs,2562377,RB,LV,KC,,,,,,,,,,,,0.00,,,,,,,,,,114,0.00
Andy Janovich,2555432,RB,CLE,@NE,,,,,,,,,,,,0.00,,,,,,,,,,115,0.00
Jermar Jefferson,2566058,RB,DET,@PIT,,,,,,,,,,,,0.00,,,,,,,,,,116,0.00
D'Ernest Johnson,2563327,RB,CLE,@NE,,,,,,,,,,,,0.00,,,,,,,,,,117,0.00
David Johnson,2553435,RB,HOU,Bye,,,,,,,,,,,,,,,,,,,,,,118,0.00
Duke Johnson,2552461,RB,MIA,BAL,,,,,,,,,,,,7.70,,,,,,,,,,119,0.00
Jakob Johnson,2562890,RB,NE,CLE,,,,,,,,,,,,0.00,,,,,,,,,,120,0.00
Kerryon Johnson,2560765,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,121,0.00
Ty Johnson,2562293,RB,NYJ,BUF,,,,,,,,,,,,0.00,,,,,,,,,,122,0.00
Aaron Jones,2558116,RB,GB,SEA,,,,,,,,,,,,0.00,,,,,,,,,,123,0.00
Ronald Jones,2560770,RB,TB,@WAS,,,,,,,,,,,,0.00,,,,,,,,,,124,0.00
Taiwan Jones,2495467,RB,BUF,@NYJ,,,,,,,,,,,,0.00,,,,,,,,,,125,0.00
Tony Jones,2564679,RB,NO,@TEN,,,,,,,,,,,,0.00,,,,,,,,,,126,0.00
Xavier Jones,2564364,RB,LA,@SF,,,,,,,,,,,,0.00,,,,,,,,,,127,0.00
Kyle Juszczyk,2540230,RB,SF,LA,,,,,,,,,,,,0.00,,,,,,,,,,128,0.00
Alvin Kamara,2558019,RB,NO,@TEN,,,,,,,,,,,,0.00,,,,,,,,,,129,0.00
Joshua Kelley,2565054,RB,LAC,MIN,,,,,,,,,,,,0.00,,,,,,,,,,130,0.00
John Kelly,2560777,RB,CLE,@NE,,,,,,,,,,,,0.00,,,,,,,,,,131,0.00
Adrian Killins Jr.,2564841,RB,DEN,PHI,,,,,,,,,,,,0.00,,,,,,,,,,132,0.00
Benny LeMay,2563794,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,133,0.00
Dion Lewis,2495469,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,134,0.00
Phillip Lindsay,2559947,RB,HOU,Bye,,,,,,,,,,,,,,,,,,,,,,135,0.00
Marlon Mack,2558123,RB,IND,JAX,,,,,,,,,,,,0.00,,,,,,,,,,136,0.00
Ben Mason,2565845,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,137,0.00
Alexander Mattison,2562682,RB,MIN,@LAC,,,,,,,,,,,,0.00,,,,,,,,,,138,0.00
Christian McCaffrey,2557997,RB,CAR,@ARI,,,,,,,,,,,,0.00,,,,,,,,,,139,0.00
